name,cluster,environment,period_ms,pdot,pdot_source,logP,logPdot_abs,log_b_proxy
J0514-4002E,NGC 1851,globular_cluster,5.5960,1.9328e-19,freire,-2.2521,-18.7138,-10.4830
J0514-4002F,NGC 1851,globular_cluster,4.3294,5.1620e-19,freire,-2.3636,-18.2872,-10.3254
J0514-4002G,NGC 1851,globular_cluster,3.8028,5.0959e-19,freire,-2.4199,-18.2928,-10.3563
J0514-4002H,NGC 1851,globular_cluster,5.5061,5.2226e-19,freire,-2.2592,-18.2821,-10.2706
J0514-4002J,NGC 1851,globular_cluster,6.6329,5.2017e-19,freire,-2.1783,-18.2839,-10.2311
J0514-4002K,NGC 1851,globular_cluster,4.6920,5.1928e-19,freire,-2.3286,-18.2846,-10.3066
J0514-4002L,NGC 1851,globular_cluster,2.9588,5.1245e-19,freire,-2.5289,-18.2903,-10.4096
J0514-4002M,NGC 1851,globular_cluster,4.7978,5.1678e-19,freire,-2.3190,-18.2867,-10.3028
J0514-4002N,NGC 1851,globular_cluster,5.5679,5.1068e-19,freire,-2.2543,-18.2919,-10.2731
J0514-4002O,NGC 1851,globular_cluster,3.0760,5.2050e-19,freire,-2.5120,-18.2836,-10.3978
J0524-2431A,M79,globular_cluster,4.6800,6.2300e-19,freire,-2.3298,-18.2055,-10.2676
J0912-6451A,NGC 2808,globular_cluster,5.5730,1.0870e-18,freire,-2.2539,-17.9638,-10.1088
J0912-6451B,NGC 2808,globular_cluster,3.0870,1.0910e-18,freire,-2.5105,-17.9622,-10.2363
J0912-6451C,NGC 2808,globular_cluster,3.9300,1.0880e-18,freire,-2.4056,-17.9634,-10.1845
J0912-6451D,NGC 2808,globular_cluster,6.5100,1.0960e-18,freire,-2.1864,-17.9602,-10.0733
J0912-6451E,NGC 2808,globular_cluster,3.4100,1.0860e-18,freire,-2.4672,-17.9642,-10.2157
B1310+18(A),M53,globular_cluster,0.5300,3.3163e-19,freire,-3.2757,-18.4793,-10.8775
J1312+1810B,M53,globular_cluster,6.2423,-1.7460e-20,freire,-2.2047,-19.7580,-10.9813
J1312+1810C,M53,globular_cluster,12.5351,5.2600e-20,freire,-1.9019,-19.2790,-10.5904
J1312+1810D,M53,globular_cluster,6.0697,2.2600e-20,freire,-2.2168,-19.6459,-10.9314
J1312+1810E,M53,globular_cluster,3.9721,-7.5800e-21,freire,-2.4010,-20.1203,-11.2607
J1326-4728A,Omega Centauri,globular_cluster,4.1088,2.7380e-20,freire,-2.3863,-19.5626,-10.9744
J1326-4728B,Omega Centauri,globular_cluster,4.7919,-5.4330e-20,freire,-2.3195,-19.2650,-10.7922
J1326-4728C,Omega Centauri,globular_cluster,6.8679,9.8000e-21,freire,-2.1632,-20.0088,-11.0860
J1326-4728D,Omega Centauri,globular_cluster,4.5788,-4.1100e-20,freire,-2.3392,-19.3862,-10.8627
J1326-4728E,Omega Centauri,globular_cluster,4.2077,1.6280e-20,freire,-2.3760,-19.7883,-11.0821
J1326-4728F,Omega Centauri,globular_cluster,2.2730,9.8290e-19,freire,-2.6434,-18.0075,-10.3254
J1326-4728G,Omega Centauri,globular_cluster,3.3040,9.9690e-19,freire,-2.4810,-18.0013,-10.2412
J1326-4728H,Omega Centauri,globular_cluster,2.5203,9.8090e-19,freire,-2.5985,-18.0084,-10.3035
J1326-4728I,Omega Centauri,globular_cluster,18.9500,1.0222e-18,freire,-1.7224,-17.9905,-9.8564
J1326-4728J,Omega Centauri,globular_cluster,3.6860,9.7282e-19,freire,-2.4334,-18.0120,-10.2227
J1326-4728K,Omega Centauri,globular_cluster,4.7150,9.4730e-19,freire,-2.3265,-18.0235,-10.1750
J1326-4728L,Omega Centauri,globular_cluster,3.5360,1.0148e-18,freire,-2.4515,-17.9936,-10.2226
J1326-4728M,Omega Centauri,globular_cluster,4.6030,1.0143e-18,freire,-2.3370,-17.9939,-10.1654
J1326-4728N,Omega Centauri,globular_cluster,6.8840,1.0120e-18,freire,-2.1622,-17.9948,-10.0785
J1326-4728O,Omega Centauri,globular_cluster,6.1590,9.4266e-19,freire,-2.2105,-18.0256,-10.1181
J1326-4728P,Omega Centauri,globular_cluster,2.7900,1.0210e-18,freire,-2.5544,-17.9910,-10.2727
J1326-4728Q,Omega Centauri,globular_cluster,4.1300,9.5920e-19,freire,-2.3840,-18.0181,-10.2011
J1326-4728R,Omega Centauri,globular_cluster,10.2900,1.0210e-18,freire,-1.9876,-17.9910,-9.9893
J1326-4728S,Omega Centauri,globular_cluster,4.5300,9.6240e-19,freire,-2.3439,-18.0166,-10.1803
J1342+2822A,M3,globular_cluster,0.6200,2.5447e-20,freire,-3.2076,-19.5944,-11.4010
J1342+2822B,M3,globular_cluster,2.3894,1.8694e-20,freire,-2.6217,-19.7283,-11.1750
J1342+2822D,M3,globular_cluster,5.4430,2.0800e-20,freire,-2.2642,-19.6819,-10.9730
