CID,sn_ra,sn_dec,sn_z,x1,x1ERR,c,cERR,HOST_LOGMASS,sigma_host,sigma_err,sigma_source,w50_proxy
2008gg,21.346,-18.1724,0.03114,1.124,0.29643,0.040009,0.031928,10.9334,59.675,8.95125,HIPASS_W50_proxy,170.5
2008ia,132.647,-61.2779,0.02231,-1.24683,0.048337,-0.083436,0.042639,10.7732,171.60000610351562,7.900000095367432,6dFGS FP,
2009Y,220.599,-17.2468,0.00996,-0.148529,0.17305,0.16089,0.049042,10.636,210.0,,Ho 2007,
2009ig,39.5484,-1.3125,0.00815,1.2958,0.14101,0.05406,0.042592,9.906,106.5,6.400000095367432,6dFGS FP,
2010ko,83.206,-14.0961,0.01122,-2.46319,0.12961,0.012558,0.051438,7.25539,153.51000213623047,23.026500320434568,HIPASS_W50_proxy,438.6000061035156
2009le,32.3214,-23.4124,0.01784,0.91638,0.17222,0.064918,0.022329,10.7233,17.745000267028807,2.661750040054321,HIPASS_W50_proxy,50.70000076293945
2011im,341.105,-0.1672,0.01549,-1.45096,0.2899,0.091116,0.057296,10.5259,160.8000030517578,,Ho 2007,
2011hb,351.981,8.7794,0.0282,0.14953,0.35962,0.033306,0.062281,11.031,121.0,5.0,BASS DR2,
2011iv,54.714,-35.5922,0.00668,-1.89667,0.035884,-0.056402,0.022414,7.0,258.79998779296875,4.199999809265137,6dFGS FP,
2012cg,186.803,9.4203,0.00256,0.49196,0.023545,0.10073,0.018231,9.633,56.79999923706055,9.199999809265137,Ho+2009,
2013aa,218.141,-44.2244,0.00331,0.51292,0.15225,-0.104394,0.054067,10.53,68.66999893188476,10.300499839782715,HIPASS_W50_proxy,196.1999969482422
2012fr,53.4,-36.1271,0.00483,1.49515,0.133,0.047577,0.041982,10.732,130.79500427246094,19.61925064086914,HIPASS_W50_proxy,373.70001220703125
2013cs,198.812,-17.9654,0.00935,-0.33302,0.15324,0.054048,0.046456,9.413,19.634999465942382,2.9452499198913573,HIPASS_W50_proxy,56.099998474121094
2012hr,95.4103,-59.7141,0.00814,-0.022119,0.19434,-0.047757,0.04357,10.1223,104.86000213623046,15.729000320434569,HIPASS_W50_proxy,299.6000061035156
2013ex,83.1942,-14.0459,0.01122,-0.341166,0.065723,-0.036939,0.033974,8.72661,153.51000213623047,23.026500320434568,HIPASS_W50_proxy,438.6000061035156
2013fy,324.363,-47.0319,0.03075,0.50174,0.62502,0.027979,0.072823,10.7658,123.30000305175781,41.5,6dFGS FP,
2013gh,330.591,-18.9168,0.00838,-0.732548,0.046243,0.19613,0.022642,9.71043,151.10000610351562,15.0,6dFGS FP,
2013gq,124.473,23.4696,0.01453,-0.740468,0.076922,-0.102076,0.022183,10.8931,186.6999969482422,,Ho 2007,
2013gy,55.5703,-4.7218,0.01303,-0.513534,0.034883,-0.023595,0.021174,10.4638,147.35,22.1025,HIPASS_W50_proxy,421.0
2013hn,207.247,-30.2907,0.01578,-1.76294,0.15572,-0.141115,0.055878,11.5,83.08999786376953,12.463499679565428,HIPASS_W50_proxy,237.39999389648438
2015F,114.066,-69.5064,0.00488,-1.16422,0.11969,0.04414,0.05381,12.198,130.51499786376954,19.57724967956543,HIPASS_W50_proxy,372.8999938964844
2016coj,182.028,65.1772,0.0057,-1.69279,0.039137,-0.05311,0.019664,11.036,226.6999969482422,7.599999904632568,Ho+2009,
2017cbv,218.143,-44.1341,0.00331,0.61655,0.052564,-0.125638,0.032337,10.449,68.66999893188476,10.300499839782715,HIPASS_W50_proxy,196.1999969482422
2017erp,227.312,-11.3342,0.00677,0.26056,0.022269,0.03324,0.023625,10.591,112.87499999999999,16.93125,HIPASS_W50_proxy,322.5
2018gv,121.394,-11.4379,0.00602,0.39823,0.082967,-0.067297,0.022548,10.06,79.44999999999999,11.917499999999999,HIPASS_W50_proxy,227.0
2021pit,56.1257,-44.6325,0.00384,-0.042209,0.12206,0.072389,0.042032,-9.0,138.00499572753904,20.700749359130857,HIPASS_W50_proxy,394.29998779296875
8046,39.1168,0.5113,0.25772,0.26195,0.49235,0.042488,0.047496,11.335,68.46000213623046,10.269000320434568,HIPASS_W50_proxy,195.60000610351562
ASASSN-14fa,43.0961,-31.8217,0.02316,-1.93908,0.26272,-0.090364,0.056882,9.74865,220.8000030517578,15.800000190734863,6dFGS FP,
ASASSN-15so,168.546,48.3187,0.00857,-0.714413,0.078954,-0.055198,0.032438,10.95,131.6999969482422,10.100000381469727,Ho+2009,
ASASSN-15uw,38.893,-6.0629,0.03076,-0.702146,0.13127,0.045816,0.034032,10.3471,113.0,23.700000762939453,6dFGS FP,
ASASSN-16aj,65.4509,-15.7554,0.02953,-1.76764,0.15936,-0.020436,0.03705,10.9323,195.3000030517578,13.0,6dFGS FP,
ASASSN-16dw,202.503,-27.9739,0.03437,-0.229019,0.14442,0.054822,0.034758,10.1423,108.19999694824219,23.399999618530273,6dFGS FP,
ASASSN-16jf,339.247,-25.232,0.01096,-1.97973,0.15325,-0.031719,0.042517,8.01649,19.040000534057615,2.8560000801086423,HIPASS_W50_proxy,54.400001525878906
ASASSN-17at,174.64,25.3971,0.02713,-1.46792,0.27096,-0.02295,0.034274,10.1022,135.0,5.0,BASS DR2,
MASTEROTJ08,128.237,-3.8579,0.03118,-0.018273,0.17632,-0.038482,0.040854,10.638,133.10000610351562,16.899999618530273,6dFGS FP,
SN2016coj,182.028,65.1772,0.0057,-1.47692,0.085215,-0.006916,0.034309,11.036,226.6999969482422,7.599999904632568,Ho+2009,
iPTF13ebh,35.4999,33.2705,0.01114,-2.41474,0.14085,0.023414,0.050691,11.5,210.89999389648438,8.699999809265137,Ho+2009,
