apogee_id,teff,logg,m_h,mass,age,distance,age_gyr
2M16293460+2235004,4974.551,3.042697,-0.24585,1.337117,3535107000.0,1076.183,3.535107
2M16293619+2313370,4866.727,2.444618,-0.33451,1.070436,6947122000.0,1476.891,6.947122
2M16295183+2323096,4052.451,0.3697865,-1.6435,1.496959,1663940000.0,8048.634,1.66394
2M16295835+2234080,4962.174,3.280804,-0.18909,1.245106,4637135000.0,589.9766,4.637135
2M16300523+2339480,5138.764,2.224849,-1.5857,1.053215,4912478000.0,2830.001,4.912478
2M16301880+2442293,4386.522,1.827275,-0.32644,1.016927,8338871000.0,1913.08,8.338871
2M16302616+2510249,4731.3,2.741009,0.006043,1.381317,3824428000.0,798.9163,3.824428
2M16302796+2334528,5252.217,3.44109,-0.18048,1.615209,2056420000.0,1550.819,2.05642
2M16304081+2327281,3540.791,0.2105532,-1.1387,0.8196269,12204420000.0,3324.896,12.20442
2M16304587+2437214,4907.776,2.393857,-0.57834,0.923623,9963226000.0,988.6012,9.963226
2M16304989+2319150,4928.303,2.528268,-0.47893,0.9544972,9422904000.0,1570.004,9.422904
2M16305287+2412244,4510.72,2.912985,-0.10488,1.058804,8556383000.0,476.6121,8.556383
2M16310194+2506054,4812.443,2.923256,-0.061853,1.351252,3889073000.0,884.3497,3.889073
2M16311528+2313330,4996.986,2.467968,-0.66262,0.9465488,8751867000.0,2669.349,8.751867
2M16311587+2249588,5000.713,2.418485,-0.92171,1.158006,4031541000.0,3233.393,4.031541
2M16311978+2519223,4987.801,3.042661,0.013416,2.051274,1323507000.0,1169.334,1.323507
2M16313630+2502171,4752.612,2.241757,-0.42654,0.9578105,9625524000.0,1561.034,9.625524
2M16314708+2518443,4301.532,1.93836,-0.16596,1.051557,8346556000.0,2251.95,8.346556
2M16314718+2438123,4509.405,2.565848,0.11408,1.101486,9181932000.0,1449.499,9.181932
2M16320076+2255008,4752.534,2.661402,-0.41701,1.021226,7739120000.0,2193.897,7.73912
2M16320190+2232361,4604.271,2.303088,-0.2025,1.144064,6083872000.0,1423.139,6.083872
2M16320754+2452348,4852.219,2.734186,-0.67649,0.9826607,7640738000.0,766.787,7.640738
2M16321097+2437530,5009.838,3.460416,-0.43042,1.087455,6189612000.0,1083.455,6.189612
2M16321892+2303358,4550.308,2.097789,-0.62528,0.9658691,8312347000.0,3582.028,8.312347
2M16324800+2311467,4999.702,2.748099,-0.96683,0.9614922,7389084000.0,974.1886,7.389084
2M16325286+2507373,4918.706,3.362146,-0.45221,1.171173,4777320000.0,1064.471,4.77732
2M16325906+2328091,4389.35,2.292485,-0.37389,0.9741791,9386572000.0,2465.918,9.386572
2M16331008+2503342,4796.082,2.382961,-0.31544,0.9904893,9212538000.0,1488.956,9.212538
2M16331045+2433349,4847.805,2.565054,-0.048407,1.470835,2981007000.0,599.6997,2.981007
