apogee_id,teff,logg,m_h,alpha_m,fe_h,c_fe,n_fe,glon,glat,dist50,dist16,dist84,mass50
2M17132515-2429277,4554.101,2.106752,-0.47012,0.343205,-0.44915,0.05646697,0.18104,359.771118,8.44722652,12.27353,12.11098,12.53586,0.920872
2M17132676-2511494,3913.993,1.491838,0.23747,0.030094,0.22649,0.063466,0.1723,359.190857,8.03639793,5.420515,5.25151,5.633325,1.085751
2M17132825-2500303,3988.26,1.093338,-0.84061,0.284915,-0.84533,0.05813098,0.11685,359.350006,8.14029598,6.420037,6.246163,6.534148,0.819
2M17132947-2432107,3874.926,1.002721,-0.57847,0.295025,-0.58463,0.13646,0.1944,359.743134,8.407794,8.00058,7.626189,8.102905,0.9082834
2M17132955-2450403,3883.564,1.063195,-0.51946,0.292615,-0.52891,0.16913,0.15271,359.488342,8.23049545,4.477122,3.930113,4.539651,1.022
2M17133034-2415531,3961.256,1.143278,-0.47089,0.299485,-0.46974,0.15255,0.20357,359.969879,8.56095505,5.803148,5.758244,6.047074,0.886
2M17133154-2354483,4259.419,1.879287,-0.1741,0.176715,-0.19193,0.092993,0.1634,0.263718337,8.75863647,4.452832,4.306657,4.649298,1.072891
2M17133382-2430240,4646.32,2.263672,-0.23362,0.199615,-0.24662,0.13188,0.14958,359.777252,8.41130924,2.249989,2.139224,2.338871,0.9821966
2M17133462-2434592,4690.661,2.280305,-0.080296,0.117076,-0.079702,0.147806,0.078485,359.715729,8.36493969,2.514507,2.449296,2.588116,0.953897
2M17335483-2753043,3537.248,0.9106266,0.29763,0.013636,0.28982,0.05883503,0.08193302,359.522522,2.73928475,6.638064,6.537728,8.321722,0.979
2M17340445-2800033,3765.358,0.8821337,-0.4723,0.287935,-0.48465,0.1937,0.13062,359.443756,2.64646077,7.268053,7.011868,8.239118,1.141317
2M17342737-2745032,3712.767,0.7104009,-0.54165,0.293265,-0.54571,0.18682,0.23148,359.699982,2.71078324,7.405224,6.866981,7.757209,1.086405
2M17343177-2749299,3547.602,0.887839,0.25673,0.012666,0.24823,0.05061199,0.16375,359.646362,2.65708208,6.263437,6.256255,6.705877,0.9756052
2M17343333-2818449,4063.76,1.154293,-0.72984,0.296505,-0.74284,-0.007749975,0.08917004,359.239014,2.38865209,6.969375,6.284835,8.188438,1.03889
2M17344049-2821066,3656.538,0.8760575,0.20638,0.005797001,0.20546,0.060957,0.05832399,359.220093,2.34527755,8.422129,8.250363,8.977493,1.09056
2M17344156-2801557,3584.693,0.6979219,-0.26096,0.267745,-0.27037,0.22229,0.19702,359.491394,2.51476979,5.929418,5.897806,6.241069,0.9183241
