apogee_id,field,glon,glat,teff,logg,m_h,alpha_m,vmicro,vsini,r_arcmin
2M16444645+3632201,M13,59.2029023230396,40.3055534098513,4864.024,3.220689,0.08411,0.05036,0.8373538,-9999.0,38.06890005864717
2M16444970+3744532,M13,60.7823607199574,40.4240442847091,4645.05,2.570058,-0.30893,0.220515,1.140665,-9999.0,110.26647597496961
2M16450272+3726014,M13,60.3773707804492,40.3496413388849,4631.91,2.421936,-0.093225,0.129785,1.167906,-9999.0,88.66418019204059
2M16452796+3642480,M13,59.4508526615816,40.1877757924704,3916.969,0.7411182,-1.1744,0.262595,2.313503,-9999.0,50.76861186397777
2M16453405+3633489,M13,59.2592826030024,40.1501852107836,4864.027,2.445171,-0.31643,0.11244,1.456465,-9999.0,47.97975810962168
2M16454196+3723161,M13,60.3352796516803,40.2156941191776,4867.497,2.714006,-0.64192,0.194725,1.168003,-9999.0,89.7682378165505
2M16454727+3701379,M13,59.8684803240012,40.159196372,4201.561,1.757741,-0.34219,0.267745,1.406048,-9999.0,68.42879800387114
2M16454864+3659300,M13,59.8229640698586,40.1507259812665,4706.407,2.525304,-0.57215,0.290365,1.142236,-9999.0,66.7432948831357
2M16455057+3714505,M13,60.1564426316045,40.1723696802942,5016.605,3.117357,-0.46016,0.113384,0.9347468,-9999.0,81.7945298048365
2M16460698+3650191,M13,59.633152097627,40.0727239056002,4976.923,2.46642,-0.63215,0.275685,1.310509,-9999.0,62.623152764046516
2M16461265+3730476,M13,60.5124439662384,40.1279239354204,5071.331,3.951755,-0.16956,0.100552,0.3760019,4.872143,101.62839678410842
2M16461809+3729055,M13,60.4780338667219,40.1070450716383,5001.104,2.412364,-0.67139,0.243805,1.755133,-9999.0,100.39669408382979
2M16462229+3700119,M13,59.8544702780387,40.0407549985358,4694.167,2.538973,-0.36528,0.182505,1.207858,-9999.0,72.71437906645752
2M16465357+3707402,M13,60.0312296564963,39.9513901646974,4643.617,2.610007,-0.2179,0.212295,1.011983,-9999.0,84.03947988610552
2M16470502+3714068,M13,60.1759283140045,39.925564911355,5002.354,3.263963,-0.16274,0.055926,1.077991,-9999.0,91.55656501720831
2M16470931+3647003,M13,59.5930216431072,39.8598277197254,4560.647,2.724416,-0.69783,0.246965,1.650593,13.99587,72.06936794865643
2M16471660+3648015,M13,59.6187547157814,39.8376486345191,4804.989,3.01508,0.018428,0.047232,0.961185,-9999.0,73.98561426470305
2M16472138+3655400,M13,59.7859001421829,39.8366863820284,4785.994,3.157038,0.13545,0.052361,0.9106112,-9999.0,79.46372349308744
2M16472346+3719186,M13,60.2969497709101,39.8743645148639,4789.942,2.449893,-0.5079,0.096015,1.481085,-9999.0,99.1141264165061
2M16474840+3702464,M13,59.9525564673372,39.7610387662834,4614.621,2.600156,-0.087869,0.173665,1.187911,-9999.0,89.1666338858316
2M16480227+3659101,M13,59.8819021719893,39.708235196107,4874.421,2.560939,-0.75227,0.306825,1.206135,-9999.0,89.08438330607855
2M16480959+3701038,M13,59.9263614532201,39.687721084341,5003.479,2.5475,-0.61259,0.222575,1.497925,-9999.0,91.65840178730974
