name,cluster,P_ms,P1_e20,Pb_days,is_binary,P,P1,log_P1,P1_sign,environment
J1614-2230,,3.151,9.6,8.687,True,0.0031509999999999997,9.6e-20,-19.01772876696043,1.0,field
J1643-1224,,4.622,18.5,147.017,True,0.004622,1.8499999999999998e-19,-18.732828271596986,1.0,field
J1741+1351,,3.747,9.1,16.335,True,0.003747,9.099999999999999e-20,-19.040958607678906,1.0,field
J1802-2124,,12.65,47.0,0.699,True,0.01265,4.7e-19,-18.327902142064282,1.0,field
J1843-1113,,1.846,9.7,,False,0.001846,9.699999999999998e-20,-19.013228265733755,1.0,field
J1903+0327,,2.15,18.8,95.174,True,0.00215,1.88e-19,-18.72584215073632,1.0,field
J1918-0642,,7.646,25.7,10.913,True,0.007646,2.5699999999999996e-19,-18.590066876668704,1.0,field
J2043+1711,,2.38,5.2,1.482,True,0.0023799999999999997,5.2e-20,-19.2839966563652,1.0,field
J2229+2643,,2.978,1.5,93.016,True,0.002978,1.4999999999999998e-20,-19.82390874094432,1.0,field
J2234+0611,,3.577,7.9,32.001,True,0.003577,7.9e-20,-19.102372908709558,1.0,field
J2302+4442,,5.192,13.9,125.935,True,0.0051920000000000004,1.39e-19,-18.856985199745903,1.0,field
B1913+16,,59.03,862.7,0.323,True,0.05903,8.627e-18,-17.06414020196212,1.0,field
J0737-3039A,,22.7,17600.0,0.102,True,0.022699999999999998,1.76e-16,-15.75448733218585,1.0,field
