PLATEIFU,redshift,LW_AGE_1RE,LW_AGE_1RE_ERROR,MW_AGE_1RE,MW_AGE_1RE_ERROR,LW_Z_1RE,MW_Z_1RE,PHOTOMETRIC_MASS,stellar_sigma_1re
11955-12702,0.08505361,0.5708787,0.2089669,0.8960359,0.1935526,-0.1648829,-0.2140815,10.97919,99.99819
11955-12702,0.08505361,0.5708787,0.2089669,0.8960359,0.1935526,-0.1648829,-0.2140815,10.97919,99.99819
11955-12702,0.08505361,0.5708787,0.2089669,0.8960359,0.1935526,-0.1648829,-0.2140815,10.97919,97.03466
11955-12702,0.08505361,0.5708787,0.2089669,0.8960359,0.1935526,-0.1648829,-0.2140815,10.97919,99.99819
11955-12703,0.02987394,0.7681754,0.145299,1.017164,0.09070235,0.1904889,0.2599204,10.81531,117.5684
11955-12703,0.02987394,0.7681754,0.145299,1.017164,0.09070235,0.1904889,0.2599204,10.81531,117.5684
11955-12703,0.02987394,0.7681754,0.145299,1.017164,0.09070235,0.1904889,0.2599204,10.81531,107.7024
11955-12703,0.02987394,0.7681754,0.145299,1.017164,0.09070235,0.1904889,0.2599204,10.81531,117.5684
11955-12704,0.09206022,0.7513111,0.1216632,0.9266246,0.09597228,0.1377933,0.2545595,11.17155,146.9471
11955-12704,0.09206022,0.7513111,0.1216632,0.9266246,0.09597228,0.1377933,0.2545595,11.17155,146.9471
11955-12704,0.09206022,0.7513111,0.1216632,0.9266246,0.09597228,0.1377933,0.2545595,11.17155,131.5588
11955-12704,0.09206022,0.7513111,0.1216632,0.9266246,0.09597228,0.1377933,0.2545595,11.17155,146.9471
11955-12705,0.02901035,0.4604075,0.1649701,0.5485631,0.2339096,-0.09376249,-0.2753935,9.893152,53.42517
11955-1901,0.02932059,0.9679796,0.0446005,1.022726,0.03164612,-0.1242702,-0.1900097,9.946075,134.1314
11955-1901,0.02932059,0.9679796,0.0446005,1.022726,0.03164612,-0.1242702,-0.1900097,9.946075,134.1314
11955-1901,0.02932059,0.9679796,0.0446005,1.022726,0.03164612,-0.1242702,-0.1900097,9.946075,134.1314
11955-1901,0.02932059,0.9679796,0.0446005,1.022726,0.03164612,-0.1242702,-0.1900097,9.946075,134.1314
11955-1902,0.02966092,0.9327059,0.06798485,0.9971883,0.05170016,0.1230109,0.103581,10.55865,162.9916
11955-1902,0.02966092,0.9327059,0.06798485,0.9971883,0.05170016,0.1230109,0.103581,10.55865,162.9916
11955-1902,0.02966092,0.9327059,0.06798485,0.9971883,0.05170016,0.1230109,0.103581,10.55865,162.9916
11955-1902,0.02966092,0.9327059,0.06798485,0.9971883,0.05170016,0.1230109,0.103581,10.55865,162.9916
11955-3702,0.02875188,0.4856673,0.1168658,0.6513836,0.1683964,0.1134365,0.01979617,10.53213,119.9701
11955-3702,0.02875188,0.4856673,0.1168658,0.6513836,0.1683964,0.1134365,0.01979617,10.53213,119.9701
11955-3702,0.02875188,0.4856673,0.1168658,0.6513836,0.1683964,0.1134365,0.01979617,10.53213,121.1089
11955-3702,0.02875188,0.4856673,0.1168658,0.6513836,0.1683964,0.1134365,0.01979617,10.53213,119.9701
11955-3703,0.03,0.4270519,0.1766154,0.8249017,0.1661514,-0.303634,-0.8785557,9.606048,54.40898
11955-3703,0.03,0.4270519,0.1766154,0.8249017,0.1661514,-0.303634,-0.8785557,9.606048,54.40898
11955-3703,0.03,0.4270519,0.1766154,0.8249017,0.1661514,-0.303634,-0.8785557,9.606048,55.06251
