apogee_id,dist50,glon,glat,mn_fe,fe_h
2M17312521-2623467,8.027126,0.47185877,4.01380587,-0.2561979,-1.0801
2M17315009-2619276,6.788951,0.583093822,3.97512436,-0.104348,-0.69934
2M17315197-2722552,3.122667,359.69812,3.39310741,0.06182198,0.16739
2M17315741-2611218,4.461497,0.711519599,4.02560282,0.130212,0.2205
2M17315967-2654561,8.356736,0.105562806,3.62326741,-0.158628,-0.72314
2M17323698-2623269,6.571773,0.622596741,3.79203653,-0.214698,-1.5957
2M17324115-2644008,1.258133,0.342633963,3.5928452,0.181942,0.26072
2M17324557-2658582,7.114399,0.141925842,3.44363141,-0.09823805,-0.86206
2M17324707-2719401,6.871284,359.854858,3.25151801,0.05383198,-0.17909
2M17325854-2622532,2.185601,0.674238861,3.72951937,-0.05852801,-0.44646
2M17330340-2635029,1.686964,0.513458431,3.60435867,-0.101718,-0.1805
2M17330540-2648142,7.71523,0.332494646,3.47886586,-0.412698,-1.2444
2M17331815-2713369,4.141635,0.00229903823,3.20963883,0.333042,0.36046
2M17333241-2717262,8.010283,359.977386,3.13072681,-0.156728,-0.88057
2M17335061-2703182,1.3615,0.21228075,3.20162153,0.058645,0.15529
2M17335181-2632337,8.901325,0.646280885,3.47516584,0.012012,-0.52529
2M17335962-2630077,9.116345,0.696224153,3.47259951,0.01595199,-0.85319
2M17114410-2437256,7.446846,359.438354,8.68384552,0.01654399,-0.021092
2M17114757-2426570,1.797262,359.590302,8.77390385,0.084151,0.091289
2M17115012-2444201,7.280624,359.356567,8.59876633,-0.180268,-0.5523
2M17120265-2431076,7.902256,359.566132,8.68704605,0.04502,0.16348
2M17120383-2448323,10.26575,359.32901,8.51596642,0.151142,0.30412
2M17120730-2443238,5.951269,359.40744,8.55471516,-0.174788,-0.48372
2M17120749-2451272,6.92858,359.296967,8.47662926,0.01270399,0.11917
2M17120807-2413067,6.676747,359.826416,8.84327507,-0.03615797,-0.54746
2M17121023-2433275,5.125373,359.550781,8.6411705,-0.06748801,-0.50219
2M17121198-2438245,3.312479,359.48645,8.5881834,0.05496799,0.09503
2M17121432-2449298,9.0992,359.338989,8.47436428,0.165152,0.37006
2M17121912-2430385,10.77931,359.609222,8.64070225,-0.02809501,0.12427
2M17122022-2433114,8.141488,359.576538,8.61279774,0.147602,0.31963
2M17122375-2440386,8.476157,359.481659,8.53028774,0.147802,0.32153
2M17122457-2436144,8.648665,359.544128,8.5700264,-0.09004802,-0.65349
2M17123158-2421481,12.59678,359.758575,8.68688679,-0.243268,-0.74333
2M17123471-2416438,10.21677,359.83548,8.72580528,-0.449798,-1.1143
2M17123560-2432381,1.570127,359.618134,8.57048607,-0.212868,-0.55463
2M17123681-2419275,8.132724,359.80246,8.69314003,-0.2839079,-0.73189
2M17123797-2502544,6.772508,359.206482,8.27245808,0.118622,0.41032
2M17123914-2431468,6.180933,359.637756,8.56770992,-0.114608,-0.29703
