plateifu,mangaid,objra,objdec,log_Mass,Age_LW_Re_fit,alpha_Age_LW_Re_fit,Age_MW_Re_fit,alpha_Age_MW_Re_fit,ZH_LW_Re_fit,alpha_ZH_LW_Re_fit,vel_sigma_Re,Re_kpc
9191-12701,1-179062,313.293270721,0.23243908467,11.44048,9.285976,-0.5285104,9.684101,-0.1137072,-0.0998411,-0.2092897,0.2306197,9.305058
9191-12702,1-635330,313.093253582,0.0757150839168,11.13569,9.024512,-0.1910599,9.658803,0.1038049,-0.05383078,-0.2440207,0.4118287,6.470107
9191-12703,1-179083,313.518260592,0.777437984009,10.85649,9.083797,-0.04050297,9.612592,0.03837615,-0.1003725,0.09235794,0.6338158,8.248371
9191-12704,1-178957,313.415744825,-0.630012362922,11.2101,9.547721,-0.3153579,9.86859,0.003657697,-0.0748495,-0.2176884,0.1183555,10.99216
9191-12705,1-635343,313.67074,-0.051089,10.56872,8.903574,-0.202289,9.711506,0.05889399,-0.1708819,-0.1835405,0.2971718,5.624077
9191-1901,1-179028,312.76885535,0.833403167309,9.557673,9.189255,-0.04968362,9.438828,0.03767836,-0.336625,-0.1285284,0.26572,1.224689
9191-1902,1-179198,313.638732758,-0.119217409243,9.992135,8.701723,-0.3245349,9.626932,0.222936,-0.316181,-0.2038199,0.4524397,1.524517
9191-3701,1-178731,312.71863,-0.32549,10.71444,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.0,0.276914
9191-3702,1-179024,312.923122086,0.85987281251,11.43175,8.483668,-0.04176972,9.664367,-0.05915829,-0.4020071,-0.07221086,0.09068491,4.43633
9191-3703,1-178938,313.210410338,-0.775513090725,10.92632,9.720693,0.03670377,9.877222,0.09167866,0.04756318,-0.08477344,0.3883667,3.506787
9191-3704,1-178972,313.144381169,-0.9832254328,10.99988,9.80422,-0.01543875,9.975107,0.06717514,-0.1719535,-0.2009725,0.1537543,3.989394
9191-6101,1-178745,312.04032621,-1.21197251648,10.85536,8.865281,-0.5276881,9.588772,-0.05004758,-0.2691433,-0.2769931,0.3050647,3.548753
9191-6102,1-178735,312.182879304,-0.936510369343,10.89961,9.211541,-0.3625863,9.615793,-0.2151484,-0.02209456,-0.03936044,0.4474808,4.251209
9191-6103,1-376993,312.909236778,-0.055866767,11.86657,9.775487,0.03625745,9.941586,0.08906646,-0.01263784,-0.2225174,0.107812,12.95049
9191-6104,1-178988,312.711611768,-0.730794906176,11.20079,9.566617,-0.06879462,9.70596,-0.03568711,0.04585796,-0.1252636,0.1779594,5.988227
9191-9101,1-179060,313.323377266,0.120354740467,11.41457,9.092672,-0.2853864,9.531752,-0.06806374,-0.03373472,-0.1203772,0.3784118,8.414775
9191-9102,1-179069,313.635107463,0.0419534445582,10.81078,9.151793,-0.1699919,9.663982,-0.1745631,-0.1895621,-0.1949871,0.4244609,6.142603
9192-12701,1-289694,46.2926761258,-0.314889879806,10.60619,9.299083,-0.5578348,9.603928,-0.3596715,-0.2088795,-0.3033383,0.3678277,4.667529
9192-12702,1-109223,45.2148475708,0.807398968541,11.35718,9.451056,-0.6389513,9.83957,-0.1215634,-0.09235562,0.0596629,0.2570867,9.908571
9192-12703,1-37603,46.3265984682,0.215557236472,10.72162,9.15558,-0.2950059,9.613349,-0.01654166,-0.1414144,-0.2488698,0.4488026,5.396659
9192-12704,1-37601,46.2857428469,0.343443042976,11.15859,8.763947,0.01698137,9.696015,-0.01721818,-0.2805373,-0.1832131,0.5161387,7.353674
9192-12705,1-293356,46.5722670394,-0.14003524581,11.74976,9.000628,-1.095638,9.650893,-0.2423991,-0.2887575,-0.4262502,0.3271898,22.27134
9192-1901,1-37421,46.2130835844,-0.0513535322846,10.34074,9.333006,-0.07237772,9.738223,0.05302901,-0.09111574,-0.1334573,0.3894825,2.004223
