plateifu,mangaid,objra,objdec,log_Mass,Age_LW_Re_fit,alpha_Age_LW_Re_fit,Age_MW_Re_fit,alpha_Age_MW_Re_fit,ZH_LW_Re_fit,alpha_ZH_LW_Re_fit,vel_sigma_Re,Re_kpc
10001-12701,1-48157,133.371090612,57.5984251446,10.20035,8.686767,-0.03568695,9.738088,0.1009846,-0.4665675,-0.002117318,0.7871029,3.963157
10001-12702,1-48188,133.685669869,57.4802503218,10.19127,8.920465,-0.2972945,9.743103,0.1758874,-0.4001147,-0.2271008,0.7880929,5.577076
10001-12703,1-55648,136.017159969,57.0923291779,10.59209,9.027836,-0.2794801,9.773587,0.09421726,-0.2864023,-0.2515774,0.503865,5.857879
10001-12704,1-55616,133.989966869,57.6779676669,9.975392,9.036954,-0.1892901,9.624197,0.05907292,-0.3639861,-0.2776855,0.5194404,4.571877
10001-12705,1-55784,136.75137451,57.4514369241,10.52823,8.742222,-0.1900433,9.568835,0.03042901,-0.4224774,-0.189148,0.7695779,5.150672
10001-1901,1-55567,133.330028009,57.0411553708,9.779252,9.366267,0.0876187,9.721019,-0.03222471,-0.1564874,-0.05108448,0.4456134,1.360387
10001-1902,1-48201,134.193923352,56.7867469988,10.57486,9.776216,-0.0485877,9.875666,-0.0509652,-0.07323723,-0.09157303,0.1394867,1.794552
10001-3701,1-48111,132.465646765,57.1437279024,10.37786,9.761883,-0.08265507,9.922853,-0.04763667,-0.1018337,-0.08365957,0.1430756,1.267653
10001-3702,1-48136,132.912768243,57.1074235568,10.21413,9.240992,0.5576689,9.623956,0.02673827,-0.1269908,0.08128096,0.1541703,2.160571
10001-3703,1-55612,134.591498946,57.6849653262,10.16215,8.93064,-0.1308069,9.801243,0.0869072,-0.3860963,-0.1286727,0.7017265,2.090409
10001-3704,1-48223,134.910466734,56.8788941639,10.64984,9.526771,-0.1475518,9.677228,-0.04465467,-0.1082344,-0.1928133,0.1415444,2.342687
10001-6101,1-55683,137.041133755,57.4236117812,11.59862,9.742167,0.1012545,9.907165,0.1653023,0.008532607,-0.1515277,0.1072345,7.484273
10001-6102,1-48116,132.653991697,57.3596675436,10.72264,9.22786,-0.3001459,9.668223,-0.09689832,-0.08340032,-0.07058977,0.4322209,3.310271
10001-6103,1-48208,134.008123053,57.3909643699,11.0059,9.746384,0.0348069,9.882041,0.06516821,-0.008230815,-0.1265483,0.186617,4.425012
10001-6104,1-55529,136.623724313,56.7963948252,11.48115,9.743091,0.03309622,9.86452,0.06430264,-0.06153915,-0.1591187,0.07165466,8.162849
10001-9101,1-48189,133.87809679,57.5645448676,10.24502,8.632863,0.0385521,9.773442,0.1144414,-0.4685835,0.0430651,0.4357434,3.878863
10001-9102,1-55552,135.818210094,56.6253848319,11.3333,9.785473,-0.07112642,9.892389,-0.04942458,-0.02093973,-0.1177768,0.3494629,6.806324
10213-12701,1-72673,124.129949071,43.7284583177,11.55668,9.704285,-0.005822904,9.921655,0.1164712,0.05612589,0.05046948,0.1039909,12.38963
10213-12702,1-72610,124.272776248,43.3509915523,10.05899,8.694222,-0.1876826,9.866222,0.08604279,-0.4859709,-0.01289313,0.3246327,4.817677
10213-12703,1-44990,123.132893944,44.3009344657,10.13098,8.874675,-0.34914,9.757482,0.1720907,-0.3191781,-0.2047831,0.6241601,6.194822
10213-12704,1-72607,124.485516908,42.8806679257,11.48981,9.516526,-0.3329124,9.659609,-0.3202876,-0.2203359,-0.3625013,0.1946544,13.87101
10213-12705,1-72456,122.931168093,41.5549778649,10.58112,9.083133,-0.498318,9.610905,-0.01084306,-0.1933102,-0.1848577,0.2989486,5.736221
10213-1901,1-72595,124.082783686,43.4476368387,10.59496,9.647277,-0.01040175,9.740441,0.03108691,0.02545241,-0.1396708,0.07521327,1.562562
10213-1902,1-122611,123.453117209,41.6494790245,10.75148,8.708065,-0.4395268,9.536296,-0.02839131,-0.4133148,-0.2553811,0.4422489,7.00795
10213-3701,1-72733,122.867048301,43.6383451379,11.49168,9.456145,0.1256966,9.747171,0.06134407,-0.0584287,-0.02268252,0.2475567,7.92064
10213-3702,1-44971,122.755283436,44.2220679155,11.55469,9.648692,0.03031372,9.753484,0.08890504,0.1525745,-0.0603483,0.1361336,6.735438
10213-3703,1-72755,123.8433,44.06446,9.793676,8.856969,-0.04805621,9.733572,0.1678849,-0.3735337,-0.1094975,0.564689,2.673659
10213-3704,1-72719,123.434850902,43.7540199483,11.66551,9.776261,-0.06954093,9.931305,-0.001851246,-0.02760797,-0.1465042,0.09518567,12.4686
10213-6101,1-44590,121.717807261,43.3235006561,11.12017,9.621539,-0.09973559,9.780489,-0.01046743,0.04033735,-0.04412087,0.1973559,4.556347
10213-6102,1-72572,122.675141761,42.2778481495,11.17957,9.756363,0.04594059,9.844921,0.06978507,0.04068028,-0.2030029,0.3334634,4.37708
10213-6103,1-44581,121.096386831,43.5825885672,11.10379,9.640778,-0.3003052,9.910473,-0.06980228,-0.09982003,-0.04445364,0.2956191,4.794169
10213-6104,1-72562,122.574759642,42.4055177083,11.50178,9.793742,0.110054,9.926006,0.1068444,-0.02030675,-0.1945931,0.07323643,6.58638
10213-9101,1-44999,122.363515778,43.9349178253,10.58086,9.146887,-0.42401,9.782115,0.07711871,-0.1245129,-0.1767531,0.3875762,3.321688
10213-9102,1-72706,124.265207921,42.3782637188,9.572371,9.013294,-0.5995826,9.882491,-0.1935905,-0.454502,-0.1577689,0.652778,2.629441
10214-12701,1-604985,121.177734666,35.4005287119,10.44587,9.017762,-0.4050523,9.688785,0.004702289,-0.3301528,-0.2452123,0.5936872,7.456502
10214-12702,1-548430,122.056621702,34.5382142602,11.35909,9.735231,-0.05090028,9.863511,-0.01247194,-0.1034252,-0.1653246,0.1157277,6.672035
10214-12703,1-153608,121.367176743,35.9466955876,11.2804,9.613795,0.0376953,9.836813,-0.05073584,-0.07186627,0.08435292,0.3962293,6.801184
10214-12704,1-605051,122.535492782,35.275267785,11.64665,9.686962,-0.02917492,9.837562,0.04057331,-0.04221573,-0.2751209,0.116106,13.09108
10214-12705,1-548428,122.2768863,34.7247236733,11.25035,9.125568,-0.870623,9.511281,-0.3933436,-0.3336248,-0.3875372,0.1381299,24.59339
10214-1901,1-153518,122.194114188,35.4369387111,11.25235,9.565117,-0.3834925,9.835225,-0.03156643,-0.05149936,-0.1844527,0.1681808,10.00647
10214-1902,1-153402,121.988292284,34.2273271723,9.971614,9.337775,0.1233418,9.572774,0.08554018,-0.1310195,-0.07567262,0.2238342,0.7454154
10214-3702,1-153317,120.75370272,35.1591455551,10.97202,9.810754,-0.003707462,9.945438,0.02890005,-0.0830863,-0.08177023,0.3222143,3.348577
10214-3703,1-153696,122.921386026,36.1157754382,11.51324,9.658749,-0.1185373,9.837206,-0.02026005,-0.02385606,-0.2387519,0.1195206,7.90713
10214-3704,1-136508,123.657888722,34.4998105102,11.09592,9.666595,0.009119881,9.766191,0.06010161,0.06920321,-0.09095799,0.08310823,3.169124
10214-6101,1-153412,123.061819419,35.1571384443,9.797878,8.903895,0.2275489,9.614301,0.01629868,-0.488602,-0.006649578,0.4241473,1.98814
10214-6102,1-136426,122.841078941,34.5816625567,10.87139,9.690736,-0.05216832,9.821411,0.01903035,-0.09664638,-0.1621953,0.1438397,3.683518
10214-6103,1-153360,120.885107167,34.9655998133,9.486334,8.709276,-0.3435132,9.733525,0.2445376,-0.4358059,-0.09997878,0.6141246,2.957924
10214-6104,1-153723,123.092211293,36.2836131709,9.865191,8.826495,-0.1536097,9.743891,0.2054814,-0.3926724,-0.1538588,0.5839472,3.720259
10214-9101,1-153357,120.935390177,35.3428778906,11.07599,9.747306,0.01133697,9.906899,0.09652694,-0.2252999,-0.1693278,0.09269467,4.888918
10214-9102,1-153556,121.942383602,34.7771614059,11.55091,9.460768,-0.1593383,9.732295,-0.1319526,-0.07629304,-0.2391898,0.5035926,11.7618
10215-12701,1-122111,121.800741247,38.2563612267,11.29304,9.551178,-0.1184531,9.744103,-0.1059476,-0.03021534,-0.1273653,0.4616488,7.637063
10215-12702,1-121959,121.466201503,37.5140925477,10.42555,8.868802,-0.2033619,9.637378,0.2390658,-0.397865,-0.1643263,0.3628095,4.647882
10215-12703,1-121923,122.130636583,37.5865756841,9.949757,8.554053,-0.1955251,9.826783,0.1888869,-0.4869853,-0.01569161,0.6574665,5.9952
10215-12704,1-605093,123.448616143,37.0503815874,10.80271,9.42754,-0.1406766,9.631645,-0.3389713,-0.07442693,0.07355051,0.3769677,6.233193
10215-12705,1-153693,122.984477119,36.4242678945,10.98732,8.833634,-0.4297829,9.502558,-0.1699312,-0.3791205,-0.3538852,0.4550222,10.71114
10215-1901,1-122310,122.118199278,38.1518625278,9.793638,9.0466,-0.111171,9.67211,0.09189896,-0.2104085,-0.0795832,0.2976882,1.274648
10215-1902,1-153901,123.857378368,37.3405186037,10.22457,8.8149,0.5080007,9.551334,-0.01293801,-0.1391267,-0.09455587,0.5139424,1.341515
10215-3701,1-122125,122.040031781,37.9213571348,9.645262,8.849723,-0.1257543,9.704786,0.2012158,-0.4699866,-0.07508792,0.64676,2.128919
10215-3702,1-548639,121.370110164,37.557853221,11.09356,9.160943,-0.1191279,9.772203,0.169598,-0.1273939,-0.2429963,0.3338852,3.481262
10215-3703,1-122138,122.303250785,38.0177069537,10.80325,9.338763,-0.2275719,9.790156,-0.01958119,-0.01305183,-0.103965,0.3974092,2.555798
10215-3704,1-153589,122.11350534,36.8374284802,11.11211,9.620764,0.291629,9.884724,0.07376467,-0.04664293,-0.1835737,0.2536431,3.021188
10215-6101,1-153713,123.253441576,36.5330040267,11.36407,9.603351,-0.08692761,9.726869,-0.06830572,0.1096113,-0.01421226,0.4101112,5.439964
10215-6102,1-153635,122.734117936,36.828123263,10.34426,8.662464,0.476326,9.824263,-0.1340417,-0.49,0.0,0.542557,2.504518
10215-6103,1-122139,122.323241339,38.3369384918,10.25149,8.97089,0.4455652,9.532183,-0.1464265,-0.2556868,0.1960457,0.2533347,2.62903
10215-6104,1-153942,123.647988384,38.5503483448,11.14293,8.567713,-0.1408826,9.865905,0.2726252,-0.4681307,-0.09414649,0.4637929,4.876749
10215-9101,1-121951,121.561209049,37.6405216725,10.23925,9.04636,-0.1854335,9.69716,0.05010401,-0.2296816,-0.06356125,0.7303947,3.724023
10215-9102,1-153613,122.390684521,36.9852665635,10.58428,9.086854,0.1322438,9.684595,-0.0755312,-0.1937841,-0.1223237,0.3861746,3.513461
10216-12701,1-382678,118.476258864,16.9533603239,10.47177,8.83505,-0.01141818,9.491799,0.01522922,-0.3962173,-0.2233392,0.7188507,5.994791
10216-12702,1-412128,118.230122563,17.0168029767,10.71549,9.122515,-0.3250649,9.828315,0.04838024,-0.1646135,-0.05677493,0.5360485,5.264875
10216-12703,1-382689,118.62259747,17.7010718242,10.23432,8.635193,-0.443054,9.787792,0.2544543,-0.3013317,0.06080947,0.5315948,5.138121
10216-12704,1-382452,118.16230011,18.3216056824,11.15524,9.301414,0.4852958,9.575472,0.222014,-0.4625026,0.04424949,0.8774496,5.7505
10216-12705,1-382588,117.894285161,16.621269888,9.653991,8.741139,-0.1977313,9.607232,-0.1688083,-0.4458567,-0.136693,0.5502229,3.046506
10216-1901,1-297909,117.038289628,18.5706939566,10.79597,9.804562,-0.05619323,9.967039,-0.02437933,-0.02570777,0.01244361,0.1990492,1.753555
10216-1902,1-297863,116.767280449,18.1383425062,10.48343,9.595698,-0.09669119,9.741605,-0.09880891,-0.1659117,-0.02131687,0.08943173,1.592242
10216-3701,1-382352,117.186922861,17.966051805,10.64855,9.592807,-0.1437959,9.745549,-0.1745643,-0.1428761,-0.02222902,0.3829943,2.901091
10216-3702,1-297905,117.003225435,18.622145951,10.72081,9.57093,0.001230452,9.740044,0.09900459,0.008941335,-0.08818527,0.1772495,2.096019
10216-3703,1-297825,117.094733328,18.5028826591,10.90321,9.814021,-0.02082297,9.961634,-0.01023308,0.04209882,-0.09050057,0.2376931,1.638634
10216-3704,1-382355,117.23952599,17.5771207096,10.90724,9.631639,-0.03509379,9.807595,0.009253261,-0.1182616,-0.04092988,0.3309931,2.406001
10216-6101,1-412105,117.700436207,16.3893864476,10.84595,9.401615,0.2019949,9.589005,0.01354183,-0.02442601,0.08835721,0.3323953,4.28329
10216-6102,1-297871,116.730202777,18.482375517,10.88682,9.352689,-0.03106736,9.638448,-0.1450706,-0.1363587,-0.1257828,0.520085,6.896974
10216-6103,1-297986,116.346578955,18.2366261774,10.86336,8.864346,-0.09831989,9.794689,0.044646,-0.1157902,-0.07027676,0.4583253,3.030293
10216-6104,1-297854,117.43276891,18.9185959989,11.08356,8.865803,-0.1756776,9.822248,0.01756685,-0.2194392,-0.2367395,0.5134037,9.384917
10216-9101,1-297956,116.67274471,18.7348410457,11.65129,9.752207,0.01983471,9.925229,0.108712,0.09922331,-0.0422288,0.0521627,7.024694
10216-9102,1-297970,116.446792381,18.312577531,10.94115,9.58979,-0.2427155,9.820387,-0.09346808,-0.06643922,-0.1099793,0.3012501,4.511675
10217-12701,1-382566,118.002740625,15.7585152922,10.55144,8.428894,-0.4958641,9.54802,-0.1876242,-0.49,0.0,0.6584963,7.978263
10217-12702,1-411980,118.300437995,15.2413143621,10.77149,8.819248,-0.2296844,9.701292,0.08298643,-0.1713983,-0.1403062,0.5966139,6.896441
10217-12705,1-459018,119.505587809,14.7026287414,11.07887,8.790602,-0.5256317,9.498115,-0.16184,-0.3295879,-0.3665153,0.4154615,8.542152
10217-1901,1-458692,119.06828621,15.2400782037,10.58294,9.609376,-0.103247,9.839336,0.05936921,-0.1292774,-0.06374478,0.2290608,2.059209
10217-1902,1-458676,118.699364685,14.6654215753,10.82307,9.694447,-0.04936427,9.807616,-0.06461515,-0.001519587,-0.07996967,0.2159432,2.045645
10217-3701,1-459044,118.693207358,14.3594231641,10.63059,9.15033,0.02892587,9.581573,-0.001158165,-0.28004,-0.120451,0.3817031,2.809905
10217-3702,1-556959,118.521918682,14.6200482639,10.88877,9.444385,-0.06861475,9.755891,0.0476715,-0.09204252,-0.07872327,0.3524624,2.944995
10217-3703,1-458727,119.293209673,14.65876405,11.08456,8.779921,-0.4429638,9.627753,-0.008556096,-0.2324588,-0.1397842,0.3927307,2.859508
10217-3704,1-458682,118.395673439,14.4733243477,10.92301,9.509205,0.03920249,9.660006,0.09637047,0.03450627,-0.2112516,0.3739972,3.498181
10217-6101,1-412045,117.735046075,14.7678282599,11.53106,9.75721,0.2877358,9.924186,0.2792318,-0.0904715,-0.08599881,0.2435014,7.86903
10217-6102,1-412043,118.202222407,15.308880164,10.76292,9.389761,0.01936726,9.626328,-0.09617004,-0.07987009,-0.1335898,0.3714,3.549836
10217-6103,1-412058,117.993013365,15.7114103805,10.72821,9.041798,0.2206956,9.750329,-0.1552019,-0.1643982,0.09302613,0.2280448,3.562281
10217-6104,1-458738,119.503945958,14.9502274395,11.49174,9.59256,-0.1090379,9.735999,-0.07506894,0.1870939,0.02118756,0.1704103,6.685775
10217-9101,1-458705,118.831445476,14.4171184641,9.682669,8.594601,-0.5888425,9.925852,0.07248788,-0.2070292,0.01625721,0.3883071,4.635598
10217-9102,1-604885,118.843822108,15.0938929519,9.827131,8.612027,0.1668419,9.748663,-0.2520466,-0.49,0.0,0.2531736,2.163333
10218-12701,1-412119,117.857788969,16.6018406215,10.77991,9.062502,-0.341743,9.600964,0.09301899,-0.2497936,-0.240333,0.3393582,5.77323
10218-12702,1-604851,117.76574,17.96273,10.45049,8.827555,-0.2902349,9.860588,0.1802274,-0.3802938,-0.1792811,0.4827463,7.148276
10218-12703,1-382273,118.634242089,16.8097293987,11.48881,8.764071,0.1567011,9.849574,-0.008098872,-0.2426635,-0.1111896,0.6028505,10.01278
10218-12704,1-584678,119.060993252,17.0202860988,9.579844,8.43275,-0.06545296,9.609103,-0.2308706,-0.49,0.0,0.5810781,2.93233
10218-12705,1-604875,118.61245,16.2148,9.612792,8.753786,-0.6314145,9.573614,-0.1571226,-0.4798767,-0.07083204,0.5622333,4.045536
10218-1901,1-382318,118.034707037,17.9303045778,9.86664,8.796001,0.09539732,9.912802,0.02234567,-0.49,0.0,0.2907868,0.8533616
10218-1902,1-382697,119.207582307,17.3803033794,10.74981,9.35787,0.2605518,9.584645,0.1027313,-0.04354518,-0.1816364,0.2535757,2.198596
10218-3701,1-382312,117.587908107,17.169833722,10.53853,8.907927,-0.1206646,9.580789,-0.01245075,-0.3842816,-0.2717274,0.5356811,3.744342
10218-3702,1-382284,118.184498039,16.7095016652,11.3026,9.768623,0.1345845,9.920769,0.1667643,-0.04581259,-0.2067808,0.1016662,3.727914
10218-3703,1-383171,119.87865241,17.4914220335,10.82119,9.236955,-0.4805657,9.826811,0.01621668,-0.09863071,-0.1238395,0.3336756,2.854424
10218-3704,1-412176,119.168808316,16.9201143063,10.74782,8.656528,0.1137364,9.800621,-0.02097677,-0.3587913,-0.08562395,0.3742423,2.988956
10218-6101,1-382557,118.98443,16.65766,11.44522,9.734236,-0.009738479,9.87794,0.0003211474,0.04830088,-0.1806947,0.1276491,8.096779
10218-6102,1-382696,119.036102953,17.3806654122,10.67409,9.472953,0.3474532,9.741051,0.1320214,-0.06061833,-0.08058251,0.4349261,3.057312
10218-6103,1-382473,118.637432363,18.3280658072,10.44114,8.625656,-0.1266245,9.95131,0.07442682,-0.4881963,-0.01030705,0.5606397,3.451782
10218-6104,1-383177,119.63633689,17.9100412893,10.56233,8.887822,0.04298798,9.752547,0.12454,-0.2794001,-0.08898266,0.3303045,3.360011
10218-9101,1-412131,118.25847,16.69089,9.541035,8.688487,-0.1969896,9.863735,0.1407693,-0.4341269,0.1213159,0.3319392,2.761249
10218-9102,1-412191,119.717877766,16.530712418,9.529657,8.831461,-0.2178555,9.663263,0.2203544,-0.4743974,-0.07746647,0.625768,2.557636
10219-12701,1-384262,124.804460255,20.757476218,9.87496,8.775591,-0.363103,9.704501,0.2629409,-0.4701641,-0.09197848,0.647682,4.374924
10219-12702,1-556820,125.505931857,21.3428752484,10.3619,9.11976,-0.288308,9.678865,-0.008784015,-0.2781196,-0.1649168,0.3256266,3.794121
10219-12703,1-556776,125.370195868,23.0663574577,11.43796,9.136734,-0.01110044,9.657747,0.1162682,-0.2480602,-0.1474422,0.5485153,11.73737
10219-12704,1-383825,124.83882348,21.90942806,10.27785,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.1687255,-7948.977
10219-12705,1-605208,125.967743522,21.4186635506,9.642822,9.02341,0.176005,9.62236,-0.0225873,-0.4305216,-0.08806708,0.5528457,3.592514
10219-1901,1-384189,125.14376637,21.1054663161,9.574591,9.659558,-0.1241244,9.807766,-0.006998601,-0.32761,-0.006814757,0.2714501,1.251261
10219-1902,1-384222,125.062375384,21.0600550691,9.297978,9.611537,-0.2668337,9.875994,0.01079956,-0.2659972,-0.1255161,0.2511498,1.016578
10219-3701,1-384167,125.631121621,20.967889239,9.697456,9.666639,-0.04361602,9.787545,-0.007222725,-0.2622379,-0.2479357,0.6693364,1.437792
10219-3702,1-384250,124.908695519,21.2853610145,9.925354,9.715075,-0.08815837,9.870096,-0.02315248,-0.2921994,-0.1386905,0.3771967,1.548469
10219-3703,1-384363,125.649814536,21.4649730541,9.252862,9.533787,-0.1252654,9.679151,-0.02950988,-0.3547194,-0.1910021,0.3344782,1.260151
10219-3704,1-384149,125.926883384,21.0614783374,11.67734,9.747212,0.03518964,9.846608,0.03211825,0.0306777,-0.1609253,0.1618275,8.080031
10219-6101,1-384265,124.977875484,20.8620843186,9.39701,9.266871,-0.4853818,9.755958,0.1984448,-0.3820366,-0.2621129,0.4508984,1.677329
10219-6102,1-384194,125.148697904,21.0677945565,11.03195,9.756155,0.06383123,9.844202,0.1271028,0.098175,-0.1288089,0.1739058,3.258517
10219-6103,1-384306,125.110457064,22.3843627261,9.747306,8.938382,-0.1750782,9.725263,-0.02137109,-0.4417136,-0.0375775,0.3777297,3.173174
10219-6104,1-605180,125.31674,21.46977,9.796688,8.968555,-0.204812,9.774987,0.1178381,-0.4764653,-0.05962076,0.5793298,2.888993
10219-9101,1-384191,125.084933497,21.1064124578,9.70128,8.822364,-0.2175489,9.844223,0.1146677,-0.4894538,-0.003121392,0.687174,3.316274
10219-9102,1-605181,125.343919429,20.9105383102,10.34348,8.845513,-0.07940535,9.610373,0.002044678,-0.3494812,-0.3412351,0.559597,3.624406
10220-12701,1-153155,120.348598309,32.8838040043,10.19436,8.939648,0.5707257,9.792241,0.03223743,-0.4609577,-0.0970725,0.5224624,4.202184
10220-12702,1-153142,120.489596539,33.1645908106,11.11814,9.139613,-0.3233545,9.797412,0.06956544,-0.08567565,-0.2137188,0.4829544,8.250786
10220-12703,1-153151,121.130860827,33.8845068552,9.71397,8.750751,0.3322515,9.878078,-0.05359245,-0.49,0.0,0.6029695,3.271008
10220-12704,1-136450,122.540399375,33.8793464336,10.37724,8.659973,0.1481853,9.68287,-0.1271626,-0.4766712,0.01366206,0.4534447,3.746323
10220-12705,1-201934,120.550320326,32.3150512958,10.99224,9.030711,-0.04076372,9.723575,0.04884317,-0.2263675,-0.05379015,0.643024,9.030981
10220-1901,1-153127,120.805213561,33.132338795,10.05653,9.605894,-0.1807384,9.807703,-0.03992747,-0.220137,-0.1700073,0.1043886,0.8710874
10220-1902,1-146605,122.385466938,31.7035152057,10.48708,9.5247,-0.02822855,9.731701,0.04570556,-0.1375809,-0.1666344,0.3254731,2.264868
10220-3701,1-201961,120.430507904,31.7266384397,10.0558,9.382369,0.01930239,9.613749,0.01158038,-0.4692885,0.02104043,0.7150059,2.167468
10220-3702,1-201956,120.436461244,31.8383638274,11.23561,9.411041,-0.2440535,9.777956,0.06254936,-0.03021851,-0.2032738,0.09824354,4.157971
10220-3703,1-201936,120.576629639,32.5355033875,10.59365,9.200729,0.09499265,9.385801,0.1520598,-0.04286006,-0.187203,0.1830738,1.564015
10220-3704,1-201970,121.035948116,31.4369848051,11.29076,9.690573,-0.06197814,9.845966,-0.003879509,0.01024854,-0.2093471,0.1678325,4.247333
10220-6101,1-146543,122.651546118,31.2946412174,11.33471,9.670893,-0.0529405,9.818483,-0.0446376,-0.01292691,-0.1664321,0.3261388,5.693995
10220-6102,1-201919,120.275641039,32.317343842,11.494,9.419167,0.1059628,9.64474,0.106094,-0.05122073,-0.07773455,0.127028,5.505469
10220-6103,1-604951,120.576104212,32.602197839,11.09134,9.261991,-0.4217698,9.750704,-0.05708775,-0.05418633,-0.1191082,0.4180983,4.616444
10220-6104,1-202008,121.718144251,32.2503291927,10.88373,8.996192,0.1095739,9.786614,-0.1330769,-0.2905761,-0.2859188,0.4091722,3.990599
10220-9101,1-201969,120.825871809,31.7763732335,10.97099,9.387154,-0.4615344,9.782452,-0.0538989,-0.07113562,-0.1390151,0.302584,5.136513
10220-9102,1-136333,123.028099529,33.390861019,9.537224,8.668534,0.01839873,9.706853,-0.3135862,-0.49,0.0,0.5269935,2.635086
10221-12701,1-229777,121.62879509,23.7105033609,10.66863,9.119984,-0.03302043,9.848916,-0.1073764,-0.4593922,-0.1349661,0.5849039,5.356744
10221-12702,1-298600,123.530409854,23.7119154499,9.584346,8.693566,0.219815,9.933393,-0.03262289,-0.49,0.0,0.442942,6.155413
10221-12703,1-230023,124.05695,25.076,9.532497,8.600898,-0.3298908,9.891547,0.1905527,-0.4587328,0.07418129,0.4346632,3.100601
10221-12704,1-605125,124.18847,23.36659,8.759853,8.403936,-0.6593863,9.099303,-0.175268,-0.4905469,-0.02187479,0.4882718,4.010727
10221-12705,1-298555,124.109635921,23.1425158913,9.138276,8.662474,-0.4817943,9.331346,-0.204569,-0.49,0.0,0.4370498,3.369792
10221-1902,1-229976,123.30674,24.60798,9.744977,8.80372,0.08830144,9.695635,0.04548512,-0.4598965,-0.04238059,0.3133483,1.82536
10221-3701,1-298596,123.70918848,24.002949613,10.41454,9.574639,-0.1817235,9.714178,-0.1192024,-0.1504946,-0.0438033,0.4486634,2.165342
10221-3702,1-229965,122.524674366,25.2888191999,10.95057,9.674627,-0.01330559,9.814121,0.1181951,-0.1313363,-0.1064104,0.1242231,2.94982
10221-3703,1-229966,122.589216544,25.1222973718,10.74241,9.814944,-0.055787,9.906103,-0.03711061,-0.2115874,-0.1116635,0.06744128,2.599261
10221-3704,1-230070,123.647377495,25.0695082117,9.987532,8.624873,0.2056986,9.696232,0.08537121,-0.4725288,-0.05372652,0.4410785,2.200794
10221-6101,1-229977,123.265271707,24.5581555942,9.8691,8.638904,0.1164113,9.86267,0.0458825,-0.49,0.0,0.4404993,2.42159
10221-6102,1-298623,123.098008176,24.1159781368,11.30252,8.817466,-0.2763273,9.534033,-0.1393058,-0.2679808,-0.149596,0.5337709,7.20242
10221-6103,1-230090,123.357514813,25.1269822349,10.84866,8.976633,-0.4131609,9.737472,0.07955312,-0.2275027,-0.2093939,0.330458,3.827045
10221-6104,1-298693,124.698297548,24.5374298193,10.53136,9.473788,0.02534963,9.62199,0.04335777,0.01292926,-0.02861621,0.3063256,3.093308
10221-9101,1-229796,121.792855792,24.3892414957,11.01774,9.273029,-0.4102364,9.810052,0.005537611,-0.1635124,-0.1051559,0.3518045,5.419041
10221-9102,1-584862,124.47296256,23.4721789379,11.05682,9.62854,0.1699066,9.765505,0.03397496,-0.06717695,-0.1354703,0.2217215,4.879305
10222-12701,1-50542,43.0975056849,-8.51039014523,10.58717,9.492802,-0.0448859,9.631417,-0.115582,-0.08069818,-0.1472608,0.4092491,3.176686
10222-12702,1-50480,43.943883293,-8.40880774285,11.28008,8.825747,-0.6779956,9.643186,-0.02740893,-0.1899578,-0.3333757,0.5331159,10.18244
10222-12703,1-50666,44.4928741137,-6.69840791282,10.13231,9.060692,-0.1184135,9.609863,-0.06702795,-0.2577511,-0.1117805,0.4642803,2.802308
10222-12704,1-50607,43.1620244157,-7.3159057948,11.07078,9.241239,-0.362629,9.586104,-0.05912586,-0.2093673,-0.3406213,0.3348462,7.317335
10222-12705,1-50801,45.1052926568,-8.27625811308,10.30357,8.703698,-0.3276495,9.696959,0.1967533,-0.4790579,-0.03577317,0.6026682,5.960641
10222-1901,1-50814,44.7458039287,-7.30034111862,10.12499,9.520682,-0.5068776,9.927508,-0.05113554,-0.1709679,0.1104131,0.1541125,1.943491
10222-1902,1-50669,45.1155381689,-7.30055506089,10.06403,9.325246,0.08970602,9.781213,-0.09287981,-0.2693717,0.1403599,0.570202,1.591209
10222-3701,1-50529,43.3520007983,-8.87881317257,10.74557,8.726213,-0.8101599,9.344038,-0.250559,-0.4324282,-0.2608032,0.5467902,10.13288
10222-3702,1-50577,43.0551098121,-6.76488596809,11.0854,9.712345,0.06992787,9.872466,0.1289272,-0.1231879,-0.2112901,0.2385442,2.860661
10222-3703,1-50622,43.5219976469,-7.34507071933,11.01601,9.828669,-0.02740269,9.923348,-0.01404348,-0.1280392,-0.1093196,0.06137085,3.005595
10222-3704,1-50472,44.5428346492,-8.95538297428,11.34524,9.357529,-0.3853563,9.776167,-0.07524585,0.0406182,-0.111097,0.402939,9.696914
10222-6101,1-582721,42.326160518,-8.17494454345,11.08021,9.011313,0.0512152,9.627252,0.09429594,-0.2371274,-0.3338658,0.4577962,5.159503
10222-6103,1-50537,42.9848765783,-8.37704983026,11.02032,8.933233,-0.4259089,9.720942,-0.0265476,-0.1808857,-0.02740706,0.2502967,8.299458
10222-6104,1-50515,43.2150088708,-7.97165223202,11.46958,9.742266,0.07553159,9.844683,0.06396481,-0.005181322,-0.1393308,0.09207455,10.11246
10222-9101,1-50628,43.297016234,-7.53251485588,10.04834,8.665047,-0.03589705,9.834835,0.1782782,-0.4290711,0.05729822,0.7184684,3.05476
10222-9102,1-50641,44.1449456196,-7.11981395605,9.153955,8.889311,-0.3231247,9.329972,-0.4187734,-0.49,0.0,0.3974201,2.593357
