source,environment,cluster,name,P0_s,P_ms,P1_sps,assoc,logP,logPdot_abs,log_b_proxy,log_tau_c
freire,globular_cluster,Omega Centauri (NGC 5139),J1326-4728K,0.0047158,4.7158,-9.0847e-21,Omega Centauri (NGC 5139),-2.3264446,-20.041689,-11.184067,17.414215
freire,globular_cluster,M3 (NGC 5272),J1342+2822A,0.00254474,2.54474,-1.0169e-20,M3 (NGC 5272),-2.5943566,-19.992722,-11.293539,17.097335
freire,globular_cluster,M3 (NGC 5272),J1342+2822B,0.00238942,2.38942,1.8694e-20,M3 (NGC 5272),-2.6217075,-19.728298,-11.175003,16.80556
freire,globular_cluster,M3 (NGC 5272),J1342+2822D,0.00544298,5.44298,2.08e-20,M3 (NGC 5272),-2.2641633,-19.681937,-10.97305,17.116743
freire,globular_cluster,M3 (NGC 5272),J1342+2822E,0.00547287,5.47287,-1.05e-21,M3 (NGC 5272),-2.2617849,-20.978811,-11.620298,18.415996
freire,globular_cluster,M3 (NGC 5272),J1342+2822F,0.00440381,4.40381,3.1224e-20,M3 (NGC 5272),-2.3561714,-19.505511,-10.930841,16.84831
freire,globular_cluster,M5 (NGC 5904),B1516+02A,0.00555359,5.55359,4.12985e-20,M5 (NGC 5904),-2.2554262,-19.384066,-10.819746,16.82761
freire,globular_cluster,M5 (NGC 5904),B1516+02B,0.00794694,7.94694,-3.308e-21,M5 (NGC 5904),-2.0998001,-20.480434,-11.290117,18.079604
freire,globular_cluster,M5 (NGC 5904),J1518+0204C,0.00248393,2.48393,2.60791e-20,M5 (NGC 5904),-2.6048606,-19.583707,-11.094284,16.677817
freire,globular_cluster,M5 (NGC 5904),J1518+0204D,0.00298798,2.98798,2.21796e-20,M5 (NGC 5904),-2.5246223,-19.654046,-11.089334,16.828394
freire,globular_cluster,M5 (NGC 5904),J1518+0204E,0.0031823,3.1823,1.7939e-20,M5 (NGC 5904),-2.4972589,-19.746202,-11.12173,16.947913
freire,globular_cluster,M5 (NGC 5904),J1518+0204F,0.00265419,2.65419,2.21e-20,M5 (NGC 5904),-2.576068,-19.655608,-11.115838,16.77851
freire,globular_cluster,M5 (NGC 5904),J1518+0204G,0.00275019,2.75019,1.247e-20,M5 (NGC 5904),-2.5606373,-19.904134,-11.232385,17.042466
freire,globular_cluster,M80 (NGC 6093),J1617-2258A,0.00431831,4.31831,6.1e-20,M80 (NGC 6093),-2.3646862,-19.21467,-10.789678,16.548954
freire,globular_cluster,M4 (NGC 6121),B1620-26,0.0110758,11.0758,-5.4693e-20,M4 (NGC 6121),-1.9556249,-19.262068,-10.608847,17.005413
freire,globular_cluster,M13 (NGC 6205),B1639+36A,0.0103775,10.3775,-7.3e-21,M13 (NGC 6205),-1.9839073,-20.136677,-11.060292,17.85174
freire,globular_cluster,M13 (NGC 6205),B1639+36B,0.00352807,3.52807,-1e-22,M13 (NGC 6205),-2.4524628,-22,-12.226231,19.246507
freire,globular_cluster,M13 (NGC 6205),J1641+3627C,0.00372208,3.72208,1.23e-21,M13 (NGC 6205),-2.4292143,-20.910095,-11.669655,18.179851
freire,globular_cluster,M13 (NGC 6205),J1641+3627D,0.00311829,3.11829,-2.36e-20,M13 (NGC 6205),-2.5060835,-19.627088,-11.066586,16.819975
freire,globular_cluster,M13 (NGC 6205),J1641+3627E,0.00248698,2.48698,1.75e-20,M13 (NGC 6205),-2.6043277,-19.756962,-11.180645,16.851604
freire,globular_cluster,M13 (NGC 6205),J1641+3627F,0.0030035,3.0035,1.4e-20,M13 (NGC 6205),-2.5223724,-19.853872,-11.188122,17.03047
freire,globular_cluster,M13 (NGC 6205),J1641+3627G,0.00432357,4.32357,-6.633e-21,M13 (NGC 6205),-2.3641575,-20.17829,-11.271224,17.513103
freire,globular_cluster,M13 (NGC 6205),J1641+3627I,0.00637518,6.37518,2.266e-18,M13 (NGC 6205),-2.1955075,-17.64474,-9.9201238,15.148203
freire,globular_cluster,M62 (NGC 6266),J1701-3006A,0.00524157,5.24157,-1.317006e-19,M62 (NGC 6266),-2.2805386,-18.880412,-10.580475,16.298844
