source,environment,cluster,name,P_ms,P1_sps,logP,logPdot_abs,log_b_proxy
atnf,field,,J1708-3506,4.5052,1.1421e-20,-2.3463,-19.9423,-11.1443
atnf,field,,J1709+2313,4.6312,3.6300e-21,-2.3343,-20.4401,-11.3872
atnf,field,,J1709-0333,3.5240,1.8752e-21,-2.4530,-20.7269,-11.5900
atnf,field,,J1710+4923,3.2202,1.8211e-20,-2.4921,-19.7397,-11.1159
atnf,field,,J1719-1438,5.7901,8.0429e-21,-2.2373,-20.0946,-11.1660
atnf,field,,J1720-0533,3.2677,8.1725e-21,-2.4858,-20.0876,-11.2867
atnf,field,,J1721-2457,3.4966,5.5422e-21,-2.4563,-20.2563,-11.3563
atnf,field,,J1725-3853,4.7918,5.0000e-20,-2.3195,-19.3010,-10.8103
atnf,field,,J1727-2946,27.0832,2.4632e-19,-1.5673,-18.6085,-10.0879
atnf,field,,J1727-2951,28.4050,3.1000e-19,-1.5466,-18.5086,-10.0276
atnf,field,,J1737-0811,4.1750,7.9300e-21,-2.3793,-20.1007,-11.2400
atnf,field,,J1745-0952,19.3763,9.2460e-20,-1.7127,-19.0340,-10.3734
atnf,field,,J1748-3009,9.6840,-3.5795e-20,-2.0139,-19.4462,-10.7301
atnf,field,,J1751-2857,3.9149,1.1225e-20,-2.4073,-19.9498,-11.1786
atnf,field,,J1753-2819,18.6236,-4.9355e-20,-1.7299,-19.3067,-10.5183
atnf,field,,J1755-3716,12.7861,3.1062e-20,-1.8933,-19.5078,-10.7005
atnf,field,,J1756-2251,28.4616,1.0175e-18,-1.5457,-17.9925,-9.7691
atnf,field,,J1757-1854,21.4972,2.6273e-18,-1.6676,-17.5805,-9.6241
atnf,field,,J1757-2745,17.6872,-1.3045e-20,-1.7523,-19.8845,-10.8184
atnf,field,,J1757-5322,8.8700,2.6300e-20,-2.0521,-19.5800,-10.8161
atnf,field,,J1801-3210,7.4536,7.2223e-23,-2.1276,-22.1413,-12.1345
atnf,field,,J1802-2124,12.6476,7.2559e-20,-1.8980,-19.1393,-10.5187
atnf,field,,J1803-4719,3.6694,3.4374e-20,-2.4354,-19.4638,-10.9496
atnf,field,,J1804-2717,9.3430,4.0863e-20,-2.0295,-19.3887,-10.7091
atnf,field,,J1804-2858,1.4927,-7.5733e-22,-2.8260,-21.1207,-11.9734
atnf,field,,J1811-0624,4.1457,4.8123e-21,-2.3824,-20.3177,-11.3500
atnf,field,,J1813-0402,4.1066,6.9428e-21,-2.3865,-20.1585,-11.2725
atnf,field,,J1813-2621,4.4300,1.2466e-20,-2.3536,-19.9043,-11.1289
atnf,field,,J1824-0621,3.2330,9.1448e-21,-2.4904,-20.0388,-11.2646
atnf,field,,J1825-0319,4.5535,6.8000e-21,-2.3417,-20.1675,-11.2546
atnf,field,,J1826-2415,4.6958,1.7360e-20,-2.3283,-19.7604,-11.0444
atnf,field,,J1828+0625,3.6276,4.6882e-21,-2.4404,-20.3290,-11.3847
atnf,field,,J1835-0114,5.1164,7.0000e-21,-2.2910,-20.1549,-11.2230
atnf,field,,J1838+0024,5.0871,2.6645e-20,-2.2935,-19.5744,-10.9340
atnf,field,,J1840+0012_P,5.3390,1.2884e-20,-2.2725,-19.8899,-11.0812
atnf,field,,J1841+0130,29.7728,8.1728e-18,-1.5262,-17.0876,-9.3069
atnf,field,,J1843-1448,5.4713,6.2090e-21,-2.2619,-20.2070,-11.2344
atnf,field,,J1844+0028,3.5707,1.8066e-20,-2.4473,-19.7431,-11.0952
atnf,field,,J1844+0115,4.1855,1.0721e-20,-2.3782,-19.9697,-11.1740
atnf,field,,J1844-0128,29.1444,3.0578e-20,-1.5354,-19.5146,-10.5250
atnf,field,,J1845+0201_P,4.3092,2.8170e-20,-2.3656,-19.5502,-10.9579
atnf,field,,J1845+0317_P,1.8507,2.8189e-20,-2.7327,-19.5499,-11.1413
atnf,field,,J1846-0513,23.3695,1.0106e-18,-1.6313,-17.9954,-9.8134
atnf,field,,J1850+0124,3.5598,1.0898e-20,-2.4486,-19.9627,-11.2056
atnf,field,,J1850+0242,4.4799,1.6256e-19,-2.3487,-18.7890,-10.5689
atnf,field,,J1853+1303,4.0918,8.7171e-21,-2.3881,-20.0596,-11.2239
atnf,field,,J1857+0642_P,3.5310,4.6917e-21,-2.4521,-20.3287,-11.3904
atnf,field,,J1857+0943,5.3621,1.7841e-20,-2.2707,-19.7486,-11.0096
atnf,field,,J1900+0308,4.9092,5.9047e-21,-2.3090,-20.2288,-11.2689
atnf,field,,J1901+0300,7.7968,4.5714e-20,-2.1081,-19.3400,-10.7240
atnf,field,,J1903+0839_P,4.6212,4.6768e-21,-2.3352,-20.3301,-11.3326
atnf,field,,J1904+0451,6.0924,5.7160e-21,-2.2152,-20.2429,-11.2291
atnf,field,,J1904+0553_P,4.9073,1.2754e-20,-2.3092,-19.8944,-11.1018
atnf,field,,J1904+0852,6.1974,1.0090e-20,-2.2078,-19.9961,-11.1019
atnf,field,,J1905+0400,3.7844,4.9052e-21,-2.4220,-20.3093,-11.3657
atnf,field,,J1905+0649_P,27.4644,3.3415e-19,-1.5612,-18.4761,-10.0186
atnf,field,,J1906+0055,2.7896,3.3200e-21,-2.5545,-20.4789,-11.5167
atnf,field,,J1906+0454,2.0833,2.9816e-21,-2.6813,-20.5255,-11.6034
atnf,field,,J1906-1754,2.8763,3.9133e-21,-2.5412,-20.4075,-11.4743
atnf,field,,J1908+0128,4.7023,5.2693e-20,-2.3277,-19.2783,-10.8030
atnf,field,,J1908+1036,10.6902,1.5725e-20,-1.9710,-19.8034,-10.8872
atnf,field,,J1909-3744,2.9471,1.4025e-20,-2.5306,-19.8531,-11.1918
atnf,field,,J1910+1256,4.9836,9.6798e-21,-2.3025,-20.0141,-11.1583
atnf,field,,J1910-5320,2.3324,3.6992e-20,-2.6322,-19.4319,-11.0320
atnf,field,,J1911+1253,27.2387,4.3256e-20,-1.5648,-19.3640,-10.4644
atnf,field,,J1911+1347,4.6260,1.6924e-20,-2.3348,-19.7715,-11.0531
atnf,field,,J1912+1416,3.1662,8.0592e-21,-2.4995,-20.0937,-11.2966
atnf,field,,J1912-0952,25.0680,2.8593e-20,-1.6009,-19.5437,-10.5723
atnf,field,,J1913+0618,5.0269,9.6125e-21,-2.2987,-20.0172,-11.1579
atnf,field,,J1913+1102,27.2850,1.6081e-19,-1.5641,-18.7937,-10.1789
atnf,field,,J1914+0659,18.5118,3.1000e-20,-1.7326,-19.5086,-10.6206
atnf,field,,J1916+0740,11.2197,2.0015e-20,-1.9500,-19.6986,-10.8243
atnf,field,,J1917+0615_P,3.9677,2.1127e-20,-2.4015,-19.6752,-11.0383
atnf,field,,J1917+1259_P,5.6375,6.5469e-21,-2.2489,-20.1840,-11.2164
atnf,field,,J1918+0621_P,2.1037,5.5761e-22,-2.6770,-21.2537,-11.9653
atnf,field,,J1918-0642,7.6459,2.5691e-20,-2.1166,-19.5902,-10.8534
atnf,field,,J1923+2515,3.7882,9.5550e-21,-2.4216,-20.0198,-11.2207
atnf,field,,J1924+1342,5.7211,8.9813e-20,-2.2425,-19.0467,-10.6446
atnf,field,,J1928+1245,3.0216,1.6799e-20,-2.5198,-19.7747,-11.1472
atnf,field,,J1928-0548,28.0409,1.0552e-19,-1.5522,-18.9767,-10.2644
atnf,field,,J1929+0132,6.4182,8.5600e-21,-2.1926,-20.0675,-11.1301
atnf,field,,J1930+1403_P,3.2094,8.1580e-22,-2.4936,-21.0884,-11.7910
atnf,field,,J1930+2441,5.7674,8.6484e-21,-2.2390,-20.0631,-11.1510
atnf,field,,J1932+2121_P,14.2447,3.5246e-19,-1.8463,-18.4529,-10.1496
atnf,field,,J1933+1726,21.5072,4.9000e-20,-1.6674,-19.3098,-10.4886
atnf,field,,J1933-6211,3.5434,3.8710e-21,-2.4506,-20.4122,-11.4314
atnf,field,,J1937+1658,3.9577,1.3202e-20,-2.4026,-19.8793,-11.1410
atnf,field,,J1938+2012,2.6341,7.5000e-22,-2.5794,-21.1249,-11.8521
atnf,field,,J1938+6604,22.2588,1.9471e-20,-1.6525,-19.7106,-10.6816
atnf,field,,J1939+2134,1.5578,1.0510e-19,-2.8075,-18.9784,-10.8929
atnf,field,,J1943+2206,4.6817,1.7534e-22,-2.3296,-21.7561,-12.0429
atnf,field,,J1943+2210,5.0842,8.7886e-21,-2.2938,-20.0561,-11.1749
atnf,field,,J1944+0907,5.1852,1.7337e-20,-2.2852,-19.7610,-11.0231
atnf,field,,J1944+2236,3.6180,7.4612e-21,-2.4415,-20.1272,-11.2844
atnf,field,,J1946+0904_P,25.7723,2.3912e-21,-1.5888,-20.6214,-11.1051
atnf,field,,J1946+2052,16.9602,9.2047e-19,-1.7706,-18.0360,-9.9033
atnf,field,,J1947+2011_P,8.1776,2.3165e-20,-2.0874,-19.6352,-10.8613
atnf,field,,J1949+3106,13.1382,9.3923e-20,-1.8815,-19.0272,-10.4543
atnf,field,,J1952+2630,20.7324,4.2716e-18,-1.6834,-17.3694,-9.5264
atnf,field,,J1952+2837,18.0209,2.1133e-19,-1.7442,-18.6750,-10.2096
atnf,field,,J1953+1844,4.4441,2.1922e-20,-2.3522,-19.6591,-11.0057
atnf,field,,J1955+2527,4.8728,9.1176e-21,-2.3122,-20.0401,-11.1762
atnf,field,,J1955+2908,6.1332,2.9740e-20,-2.2123,-19.5267,-10.8695
atnf,field,,J1955+6708,8.5654,1.2597e-20,-2.0673,-19.8997,-10.9835
atnf,field,,J2001+0701,6.8200,1.4381e-20,-2.1662,-19.8422,-11.0042
atnf,field,,J2007+2722,24.4974,9.6110e-19,-1.6109,-18.0172,-9.8141
atnf,field,,J2010+3051,4.8163,4.8666e-21,-2.3173,-20.3128,-11.3150
atnf,field,,J2010-1323,5.2233,4.8250e-21,-2.2821,-20.3165,-11.2993
atnf,field,,J2015+0756,4.3280,6.6684e-21,-2.3637,-20.1760,-11.2698
atnf,field,,J2019+2425,3.9345,7.0237e-21,-2.4051,-20.1534,-11.2793
atnf,field,,J2022+2534,2.6459,6.1609e-21,-2.5774,-20.2104,-11.3939
atnf,field,,J2027+0255,10.5955,5.2697e-20,-1.9749,-19.2782,-10.6265
atnf,field,,J2031-1254,5.7884,6.0175e-21,-2.2374,-20.2206,-11.2290
atnf,field,,J2033+1734,5.9490,1.1146e-20,-2.2256,-19.9529,-11.0892
atnf,field,,J2035+3655,24.5650,1.2405e-18,-1.6097,-17.9064,-9.7580
atnf,field,,J2045-6837,2.9623,1.2803e-20,-2.5284,-19.8927,-11.2105
atnf,field,,J2053+4650,12.5863,1.7228e-19,-1.9001,-18.7638,-10.3319
atnf,field,,J2055+3829,2.0893,9.9962e-22,-2.6800,-21.0002,-11.8401
atnf,field,,J2129-5721,3.7264,2.0854e-20,-2.4287,-19.6808,-11.0548
atnf,field,,J2144-5237,5.0415,9.0558e-21,-2.2974,-20.0431,-11.1703
atnf,field,,J2145-0750,16.0524,2.9793e-20,-1.7945,-19.5259,-10.6602
atnf,field,,J2150-0326,3.5107,8.1616e-21,-2.4546,-20.0882,-11.2714
atnf,field,,J2212+2450,3.9075,1.9849e-21,-2.4081,-20.7023,-11.5552
atnf,field,,J2229+2643,2.9778,1.5237e-21,-2.5261,-20.8171,-11.6716
atnf,field,,J2234+0611,3.5766,1.2014e-20,-2.4465,-19.9203,-11.1834
atnf,field,,J2234+0944,3.6270,2.0100e-20,-2.4404,-19.6968,-11.0686
atnf,field,,J2236-5527,6.9075,9.6000e-21,-2.1607,-20.0177,-11.0892
atnf,field,,J2322+2057,4.8084,9.6574e-21,-2.3180,-20.0151,-11.1666
atnf,field,,J2355+0051,3.7190,3.2226e-21,-2.4296,-20.4918,-11.4607
atnf_additional,field,,J0023+0923,3.0502,1.1423e-20,-2.5157,-19.9422,-11.2289
atnf_additional,field,,J0030+0451,4.8655,1.0174e-20,-2.3129,-19.9925,-11.1527
atnf_additional,field,,J0034-0534,1.8772,4.9660e-21,-2.7265,-20.3040,-11.5152
atnf_additional,field,,J0058-7218,21.7661,2.8900e-14,-1.6622,-13.5391,-7.6007
atnf_additional,field,,J0101-6422,2.5732,5.1600e-21,-2.5895,-20.2874,-11.4384
atnf_additional,field,,J0102+4839,2.9641,1.1413e-20,-2.5281,-19.9426,-11.2354
atnf_additional,field,,J0218+4232,2.3231,7.7395e-20,-2.6339,-19.1113,-10.8726
atnf_additional,field,,J0248+4230,2.6008,1.6873e-20,-2.5849,-19.7728,-11.1788
atnf_additional,field,,J0251+2606,2.5416,7.5718e-21,-2.5949,-20.1208,-11.3579
atnf_additional,field,,J0312-0921,3.7043,1.9723e-20,-2.4313,-19.7050,-11.0682
atnf_additional,field,,J0318+0253,5.1899,1.7615e-20,-2.2848,-19.7541,-11.0195
atnf_additional,field,,J0337+1715,2.7326,1.7666e-20,-2.5634,-19.7529,-11.1581
atnf_additional,field,,J0340+4130,3.2993,7.0470e-21,-2.4816,-20.1520,-11.3168
atnf_additional,field,,J0418+6635,2.9102,1.3662e-20,-2.5361,-19.8645,-11.2003
atnf_additional,field,,J0437-4715,5.7575,5.7292e-20,-2.2398,-19.2419,-10.7408
atnf_additional,field,,J0533+6759,4.3882,1.2618e-20,-2.3577,-19.8990,-11.1284
atnf_additional,field,,J0537-6910,16.1222,5.1784e-14,-1.7926,-13.2858,-7.5392
atnf_additional,field,,J0605+3757,2.7280,4.7173e-21,-2.5642,-20.3263,-11.4452
atnf_additional,field,,J0610-2100,3.8613,1.2327e-20,-2.4133,-19.9092,-11.1612
atnf_additional,field,,J0613-0200,3.0618,9.5907e-21,-2.5140,-20.0182,-11.2661
atnf_additional,field,,J0614-3329,3.1487,1.7419e-20,-2.5019,-19.7590,-11.1304
atnf_additional,field,,J0621+2514,2.7218,2.4830e-20,-2.5651,-19.6050,-11.0851
atnf_additional,field,,J0636+5128,2.8690,3.4490e-21,-2.5423,-20.4623,-11.5023
atnf_additional,field,,J0645+5158,8.8535,4.9211e-21,-2.0529,-20.3079,-11.1804
atnf_additional,field,,J0653+4706,4.7581,2.0761e-20,-2.3226,-19.6828,-11.0027
atnf_additional,field,,J0740+6620,2.8857,1.2191e-20,-2.5397,-19.9140,-11.2269
atnf_additional,field,,J0751+1807,3.4788,7.7870e-21,-2.4586,-20.1086,-11.2836
atnf_additional,field,,J0931-1902,4.6380,3.6285e-21,-2.3337,-20.4403,-11.3870
atnf_additional,field,,J0952-0607,1.4138,4.7732e-21,-2.8496,-20.3212,-11.5854
atnf_additional,field,,J0955-3947,2.0227,3.8133e-20,-2.6941,-19.4187,-11.0564
atnf_additional,field,,J0955-6150,1.9994,1.4260e-20,-2.6991,-19.8459,-11.2725
atnf_additional,field,,J1012-4235,3.1011,6.5456e-21,-2.5085,-20.1841,-11.3463
atnf_additional,field,,J1023+0038,1.6880,6.9295e-21,-2.7726,-20.1593,-11.4660
atnf_additional,field,,J1024-0719,5.1622,1.8551e-20,-2.2872,-19.7316,-11.0094
atnf_additional,field,,J1035-6720,2.8720,4.6463e-20,-2.5418,-19.3329,-10.9374
atnf_additional,field,,J1048+2339,4.6652,3.0077e-20,-2.3311,-19.5218,-10.9264
atnf_additional,field,,J1124-3653,2.4096,6.0116e-21,-2.6181,-20.2210,-11.4195
atnf_additional,field,,J1125-5825,3.1022,6.0899e-20,-2.5083,-19.2154,-10.8619
atnf_additional,field,,J1125-6014,2.6304,3.7313e-21,-2.5800,-20.4281,-11.5041
atnf_additional,field,,J1137+7528,2.5126,3.2400e-21,-2.5999,-20.4895,-11.5447
atnf_additional,field,,J1142+0119,5.0753,1.4990e-20,-2.2945,-19.8242,-11.0594
atnf_additional,field,,J1207-5050,4.8428,6.0648e-21,-2.3149,-20.2172,-11.2660
atnf_additional,field,,J1221-0633,1.9345,5.2679e-21,-2.7134,-20.2784,-11.4959
atnf_additional,field,,J1227-4853,1.6864,1.1091e-20,-2.7730,-19.9550,-11.3640
atnf_additional,field,,J1231-1411,3.6839,2.2624e-20,-2.4337,-19.6454,-11.0396
atnf_additional,field,,J1301+0833,1.8437,1.0555e-20,-2.7343,-19.9765,-11.3554
atnf_additional,field,,J1302-3258,3.7709,6.5409e-21,-2.4236,-20.1844,-11.3040
atnf_additional,field,,J1311-3430,2.5604,2.0964e-20,-2.5917,-19.6785,-11.1351
atnf_additional,field,,J1312+0051,4.2280,1.7527e-20,-2.3739,-19.7563,-11.0651
atnf_additional,field,,J1335-5656,3.2377,1.2055e-20,-2.4898,-19.9188,-11.2043
atnf_additional,field,,J1400-1431,3.0842,7.2333e-21,-2.5109,-20.1407,-11.3258
atnf_additional,field,,J1402+1306,5.8924,1.3458e-20,-2.2297,-19.8710,-11.0504
atnf_additional,field,,J1431-4715,2.0120,1.4110e-20,-2.6964,-19.8505,-11.2734
atnf_additional,field,,J1439-5501,28.6349,1.4177e-19,-1.5431,-18.8484,-10.1958
atnf_additional,field,,J1446-4701,2.1947,9.8075e-21,-2.6586,-20.0084,-11.3335
atnf_additional,field,,J1455-3330,7.9872,2.4304e-20,-2.0976,-19.6143,-10.8560
atnf_additional,field,,J1513-2550,2.1191,2.1610e-20,-2.6739,-19.6653,-11.1696
atnf_additional,field,,J1514-4946,3.5893,1.8646e-20,-2.4450,-19.7294,-11.0872
atnf_additional,field,,J1536-4948,3.0799,2.1190e-20,-2.5115,-19.6739,-11.0927
atnf_additional,field,,J1543-5149,2.0570,1.6165e-21,-2.6868,-20.7914,-11.7391
atnf_additional,field,,J1544+4937,2.1593,2.7966e-21,-2.6657,-20.5534,-11.6095
atnf_additional,field,,J1551-0658,7.0938,2.0500e-20,-2.1491,-19.6882,-10.9187
atnf_additional,field,,J1552+5437,2.4279,2.7976e-21,-2.6148,-20.5532,-11.5840
atnf_additional,field,,J1555-2908,1.7875,4.4531e-20,-2.7478,-19.3513,-11.0495
atnf_additional,field,,J1600-3053,3.5979,9.5001e-21,-2.4439,-20.0223,-11.2331
atnf_additional,field,,J1614-2230,3.1508,9.6242e-21,-2.5016,-20.0166,-11.2591
atnf_additional,field,,J1618-4624,5.9314,3.1000e-21,-2.2268,-20.5086,-11.3677
atnf_additional,field,,J1622-0315,3.8454,1.1431e-20,-2.4151,-19.9419,-11.1785
atnf_additional,field,,J1623-2631,11.0758,6.7093e-19,-1.9556,-18.1733,-10.0645
atnf_additional,field,,J1623-6936,2.4099,9.0585e-21,-2.6180,-20.0429,-11.3305
atnf_additional,field,,J1625-0021,2.8336,2.1325e-20,-2.5477,-19.6711,-11.1094
atnf_additional,field,,J1627+3219,2.1828,5.4776e-21,-2.6610,-20.2614,-11.4612
atnf_additional,field,,J1628-3205,3.2116,1.1954e-20,-2.4933,-19.9225,-11.2079
atnf_additional,field,,J1630+3734,3.3181,1.0690e-20,-2.4791,-19.9710,-11.2251
atnf_additional,field,,J1640+2224,3.1633,2.8173e-21,-2.4999,-20.5502,-11.5250
atnf_additional,field,,J1641+8049,2.0212,9.7881e-21,-2.6944,-20.0093,-11.3518
atnf_additional,field,,J1649-3012,3.4244,1.3251e-20,-2.4654,-19.8777,-11.1716
atnf_additional,field,,J1653-0158,1.9677,2.4020e-21,-2.7060,-20.6194,-11.6627
atnf_additional,field,,J1658-5324,2.4393,1.1154e-20,-2.6127,-19.9526,-11.2826
atnf_additional,field,,J1713+0747,4.5701,8.5296e-21,-2.3401,-20.0691,-11.2046
atnf_additional,field,,J1723-2837,1.8557,7.5418e-21,-2.7315,-20.1225,-11.4270
atnf_additional,field,,J1730-2304,8.1228,2.0184e-20,-2.0903,-19.6950,-10.8926
atnf_additional,field,,J1731-1847,2.3446,2.5407e-20,-2.6299,-19.5950,-11.1125
atnf_additional,field,,J1732-5049,5.3126,1.4191e-20,-2.2747,-19.8480,-11.0613
atnf_additional,field,,J1738+0333,5.8501,2.4120e-20,-2.2328,-19.6176,-10.9252
atnf_additional,field,,J1741+1351,3.7472,3.0216e-20,-2.4263,-19.5198,-10.9730
atnf_additional,field,,J1744-1134,4.0745,8.9344e-21,-2.3899,-20.0489,-11.2194
atnf_additional,field,,J1744-7619,4.6875,9.6791e-21,-2.3291,-20.0142,-11.1716
atnf_additional,field,,J1745+1017,2.6521,2.7291e-21,-2.5764,-20.5640,-11.5702
atnf_additional,field,,J1747-4036,1.6456,1.3142e-20,-2.7837,-19.8813,-11.3325
atnf_additional,field,,J1757-6032,2.9125,2.9935e-21,-2.5357,-20.5238,-11.5298
atnf_additional,field,,J1801-1417,3.6251,5.3040e-21,-2.4407,-20.2754,-11.3580
atnf_additional,field,,J1803-6707,2.1346,1.8424e-20,-2.6707,-19.7346,-11.2026
atnf_additional,field,,J1804-0735,23.1009,4.6710e-19,-1.6364,-18.3306,-9.9835
atnf_additional,field,,J1805+0615,2.1289,2.2758e-20,-2.6718,-19.6429,-11.1574
atnf_additional,field,,J1806+2819,15.0837,3.7500e-20,-1.8215,-19.4260,-10.6237
atnf_additional,field,,J1810+1744,1.6628,4.4760e-21,-2.7792,-20.3491,-11.5641
atnf_additional,field,,J1811-2405,2.6606,1.3776e-20,-2.5750,-19.8609,-11.2180
atnf_additional,field,,J1816+4510,3.1931,4.3074e-20,-2.4958,-19.3658,-10.9308
atnf_additional,field,,J1823-3543,2.3733,2.1179e-20,-2.6246,-19.6741,-11.1494
atnf_additional,field,,J1824+1014,4.0659,5.3728e-21,-2.3908,-20.2698,-11.3303
atnf_additional,field,,J1827-0849,2.2425,1.0957e-20,-2.6493,-19.9603,-11.3048
atnf_additional,field,,J1832-0836,2.7191,8.2739e-21,-2.5656,-20.0823,-11.3239
atnf_additional,field,,J1833-3840,1.8661,1.7770e-20,-2.7291,-19.7503,-11.2397
atnf_additional,field,,J1843-1113,1.8457,9.5572e-21,-2.7338,-20.0197,-11.3768
atnf_additional,field,,J1852-1310,4.3147,1.0193e-20,-2.3651,-19.9917,-11.1784
atnf_additional,field,,J1855-1436,3.5941,1.0900e-20,-2.4444,-19.9626,-11.2035
atnf_additional,field,,J1858-2216,2.3840,3.8000e-21,-2.6227,-20.4202,-11.5215
atnf_additional,field,,J1858-5422,2.3555,4.1169e-21,-2.6279,-20.3854,-11.5067
atnf_additional,field,,J1901-0125,2.7934,3.5761e-20,-2.5539,-19.4466,-11.0002
atnf_additional,field,,J1902-5105,1.7424,9.1993e-21,-2.7589,-20.0362,-11.3975
atnf_additional,field,,J1903+0327,2.1499,1.8821e-20,-2.6676,-19.7254,-11.1965
atnf_additional,field,,J1903-7051,3.5979,1.0434e-20,-2.4440,-19.9816,-11.2128
atnf_additional,field,,J1908+2105,2.5644,1.3835e-20,-2.5910,-19.8590,-11.2250
atnf_additional,field,,J1911-1114,3.6257,1.3950e-20,-2.4406,-19.8554,-11.1480
atnf_additional,field,,J1921+0137,2.4964,1.9350e-20,-2.6027,-19.7133,-11.1580
atnf_additional,field,,J1921+1929,2.6463,3.8196e-20,-2.5774,-19.4180,-10.9977
atnf_additional,field,,J1946+3417,3.1701,3.1637e-21,-2.4989,-20.4998,-11.4994
atnf_additional,field,,J1950+2414,4.3048,1.8805e-20,-2.3660,-19.7257,-11.0459
atnf_additional,field,,J1957+2516,3.9617,2.7440e-20,-2.4021,-19.5616,-10.9819
atnf_additional,field,,J1959+2048,1.6074,1.6851e-20,-2.7939,-19.7734,-11.2836
atnf_additional,field,,J2006+0148,2.1636,3.3048e-21,-2.6648,-20.4809,-11.5728
atnf_additional,field,,J2017+0603,2.8962,7.9931e-21,-2.5382,-20.0973,-11.3177
atnf_additional,field,,J2017-1614,2.3143,2.4500e-21,-2.6356,-20.6108,-11.6232
atnf_additional,field,,J2034+3632,3.6503,1.7189e-21,-2.4377,-20.7648,-11.6012
atnf_additional,field,,J2039-3616,3.2750,8.4145e-21,-2.4848,-20.0750,-11.2799
atnf_additional,field,,J2039-5617,2.6509,1.4164e-20,-2.5766,-19.8488,-11.2127
atnf_additional,field,,J2042+0246,4.5337,1.4030e-20,-2.3435,-19.8529,-11.0982
atnf_additional,field,,J2043+1711,2.3799,5.2443e-21,-2.6234,-20.2803,-11.4519
atnf_additional,field,,J2047+1053,4.2859,2.0801e-20,-2.3680,-19.6819,-11.0249
atnf_additional,field,,J2051-0827,4.5086,1.2733e-20,-2.3460,-19.8951,-11.1205
atnf_additional,field,,J2052+1219,1.9853,6.7037e-21,-2.7022,-20.1737,-11.4379
atnf_additional,field,,J2055+1545,2.1600,2.0190e-20,-2.6655,-19.6949,-11.1802
atnf_additional,field,,J2115+5448,2.6029,7.4900e-20,-2.5845,-19.1255,-10.8550
atnf_additional,field,,J2116+1345,2.2185,2.6425e-21,-2.6539,-20.5780,-11.6160
atnf_additional,field,,J2124-3358,4.9311,2.0570e-20,-2.3071,-19.6868,-10.9969
atnf_additional,field,,J2129-0429,7.6139,3.2775e-19,-2.1184,-18.4845,-10.3014
atnf_additional,field,,J2205+6012,2.4155,1.9794e-20,-2.6170,-19.7035,-11.1602
atnf_additional,field,,J2214+3000,3.1192,1.4729e-20,-2.5060,-19.8318,-11.1689
atnf_additional,field,,J2215+5135,2.6096,3.3370e-20,-2.5834,-19.4766,-11.0300
atnf_additional,field,,J2241-5236,2.1867,6.8966e-21,-2.6602,-20.1614,-11.4108
atnf_additional,field,,J2256-1024,2.2945,1.1353e-20,-2.6393,-19.9449,-11.2921
atnf_additional,field,,J2302+4442,5.1923,1.3868e-20,-2.2846,-19.8580,-11.0713
atnf_additional,field,,J2310-0555,2.6126,4.9600e-21,-2.5829,-20.3045,-11.4437
atnf_additional,field,,J2317+1439,3.4453,2.4306e-21,-2.4628,-20.6143,-11.5385
atnf_additional,field,,J2322-2650,3.4631,5.8340e-22,-2.4605,-21.2340,-11.8473
atnf_additional,field,,J2333-5526,2.1025,7.8006e-21,-2.6773,-20.1079,-11.3926
atnf_additional,field,,J2339-0533,2.8842,1.4102e-20,-2.5400,-19.8507,-11.1953
