# Total number of pulsars: 350, in 46 globular clusters.

# Cluster/	Offset	Period (a)	dP/dt  (a,b)	DM		Pb	x	e	m2 (c)
# Pulsar	(arcmin)(ms)		(10-20)		(cm-3 pc)	(days)	(s)		(solar masses)

47 Tuc (NGC 104)
J1312+1810B	0.13	6.24226		-1.746(4)	25.960(1)	47.67735 22.61656 	0.0132417 		0.28
J1312+1810C	0.12	12.53508	+5.26(3)	26.194(6)	i	i	i	i
J1312+1810D	0.20	6.06974		+2.26(3)	24.61(1)	5.75024	5.91397	0.000013 0.30
J1312+1810E	0.24	3.97214		-0.758(8)	25.879(5)	2.43138	2.37168	0.000009 0.21	

Omega Centauri (NGC 5139)
J1326-4728A	*	4.10879		+2.738(2)	100.2899(7)	i	i	i	i
J1326-4728B	*	4.79187		-5.433(4)	100.250(1)	0.08961	0.02145	0.0	0.0156
J1326-4728C	*	6.86786		+0.98(1)	100.640(5)	i	i	i	i
J1326-4728D	*	4.57883		-4.110(4)	96.518(2)	i	i	i	i
J1326-4728E	*	4.20772		+1.628(1)	94.3690(4)	i	i	i	i
J1326-4728F	*	2.273		 *		98.29		i	i	i	i
J1326-4728G	*	3.304		 *		99.69		0.10876	0.03220	0	0.021
J1326-4728H	*	2.5203		 *		98.09		0.13569	0.02184	0	0.012
J1326-4728I	*	18.95		 *		102.22		1.113	0.165	0	0.022
J1326-4728J	*	3.686		 *		97.282		i	i	i	i
J1326-4728K	*	4.715		 *		94.73		0.09387	0.0679	0	0.049
J1326-4728L	*	3.536		 *		101.48		0.15893	0.06181	0	0.031
J1326-4728M	*	4.603		 *		101.426		i	i	i	i
J1326-4728N	*	6.884		 *		101.2		1.0816	0.1250	0	0.017	
J1326-4728O	*	6.159		 *		94.266		i	i	i	i
J1326-4728P	*	2.79		 *		102.1		i	i	i	i	
J1326-4728Q	*	4.130		 *		95.92		1.18	1.1	0	0.15
J1326-4728R	*	10.29		 *		102.1		i	i	i	i
J1326-4728S	*	4.53		 *		96.24		i	i	i	i

M3 (NGC 5272)
J1342+2822A	0.62 2.54474	-1.0169	26.4278(8)	0.1359	0.0256	0	0.0125
J1342+2822B	0.12 2.38942	+1.8694	26.1510(4)	1.41735	1.87565	0.0000040(3)	0.21
J1342+2822D	0.15 5.44298	+2.08	26.3677(3)	128.74549	38.52142	0.0747556(1)	0.21	
J1342+2822E	0.65 5.47287	-0.105	26.521(7)	7.09685	5.33923	0.000309(5)	0.23
J1342+2822F	0.16 4.40381	3.1224	26.436(2)	2.99199	2.22589	0.0	0.17

M5 (NGC 5904)
B1516+02A	0.60	5.55359		+4.12985(9)	30.0546(5)	i	i	i	i	
B1516+02B	0.59	7.94694		-0.3308(2)	29.469(4)	6.85845	3.04827	0.137839(2) 	0.13 
J1518+0204C	0.125	2.48393		+2.60791(3)	29.3109(3)	0.08683	0.05732	0.0	0.038	
J1518+0204D	0.71	2.98798		+2.21796(7)	29.371(2)	1.22209	1.59607	0.0	0.20
J1518+0204E	0.23	3.18230		+1.79390(4)	29.310(1)	1.09693	1.15162	0.0	0.15
J1518+0204F	0.40	2.65419		+2.21(1)	29.409(1)	1.60952	1.95301	0.0	0.23
J1518+0204G	1.18	2.75019		+1.247(2)	29.3945(7)	0.11393	0.03595	0.0	0.022

NGC 5986
J1546-3747A 	* 	2.60567 	 * 		92.173 		1.34671 1.3833 	0.0 	0.18 

M80 (NGC 6093)
J1617-2258A		0.11	4.31831	6.1(2)	66.812			0.78915	0.46421	0.53744(3)	0.082
J1617-2258B		*	 6.323		 *		66.52			*		*		*		*	
